site_code,CWM.tachaqua_egg,CWM.tachaqua_larva,CWM.tachaqua_nymph,CWM.tachaqua_adult,CWM.tachdisp_aquapass,CWM.tachdisp_aquaact,CWM.tachdisp_aerpass,CWM.tachdisp_aeract,CWM.tachfeed_abs,CWM.tachfeed_dpf,CWM.tachfeed_shr,CWM.tachfeed_scr,CWM.tachfeed_fif,CWM.tachfeed_pie,CWM.tachfeed_pre,CWM.tachfeed_par,CWM.tachfood_mior,CWM.tachfood_detl1,CWM.tachfood_dpg1,CWM.tachfood_limi,CWM.tachfood_lima,CWM.tachfood_dag1,CWM.tachfood_lmic,CWM.tachfood_lmac,CWM.tachfood_vert,CWM.tachlifedur_less1,CWM.tachlifedur_gr1,CWM.tachloco_flr,CWM.tachloco_ssw,CWM.tachloco_wsw,CWM.tachloco_crw,CWM.tachloco_bur,CWM.tachloco_int,CWM.tachloco_tat,CWM.tachloco_pat,CWM.tachsize_less0.25,CWM.tachsize_0.25to0.5,CWM.tachsize_0.5to1,CWM.tachsize_1to2,CWM.tachsize_2to4,CWM.tachsize_4to8,CWM.tachsize_gr8,CWM.tachrepcyc_less1,CWM.tachrepcyc_one,CWM.tachrepcyc_gr1,CWM.tachrepro_ovo,CWM.tachrepro_fie,CWM.tachrepro_cie,CWM.tachrepro_fic,CWM.tachrepro_frc,CWM.tachrepro_vec,CWM.tachrepro_tec,CWM.tachrepro_ase,CWM.tachresist_egg,CWM.tachresist_coc,CWM.tachresist_hou,CWM.tachresist_did,CWM.tachresist_non,CWM.tachrespir_teg,CWM.tachrespir_gil,CWM.tachrespir_pls,CWM.tachrespir_spi,CWM.tachrespir_ves
LTR1_2010,0.326237142,0.391784115,0.149505103,0.13247364,0.407010092,0.260603544,0.124470836,0.207915528,0.003932636,0.127851757,0.304849415,0.202835044,0.151127786,0.012850467,0.19008273,0.006470165,0.016090639,0.193715811,0.180770792,0.211211921,0.079377686,0.055633774,0.128007933,0.131920415,0.003271028,0.693272075,0.306727925,0.001524255,0.00432243,0.168279929,0.481683912,0.088327712,0.091822284,0.163516853,0.000522627,0.002321277,0.041109358,0.290811772,0.434925864,0.209148273,0.01936218,0.002321277,0.062497205,0.437893619,0.499609176,0.298026999,0.04696729,0.101890966,0.392643767,0.099104361,0.037383178,0.008095589,0.01588785,0.077570093,0.092990654,0,0.137445066,0.691994187,0.396113592,0.58102259,0.003337784,0.019526035,0
LTR1_2012,0.340418971,0.326626856,0.095857723,0.23709645,0.465201859,0.310520246,0.097446025,0.12683187,0.014481317,0.169766577,0.150821542,0.200481907,0.158059962,0.094426185,0.200543088,0.011419421,0.021838865,0.206860121,0.108670772,0.235325003,0.042128208,0.072261455,0.09076703,0.214430504,0.007718042,0.531347576,0.468652424,0,0.050739523,0.121329773,0.394151309,0.271089597,0.089887002,0.070878305,0.001924491,0.008547738,0.086108058,0.281743482,0.205549627,0.279260797,0.116273784,0.022516514,0.083566146,0.535176664,0.38125719,0.220031042,0.06127198,0.065352506,0.354405464,0.165461517,0.036976171,0.0379968,0.058504519,0.036236647,0.164792885,0,0.363883672,0.435086796,0.573183225,0.337690508,0.00783347,0.081292796,0
LTR1_2013,0.338893942,0.407911683,0.139982691,0.113211684,0.398174429,0.265267423,0.102858202,0.233699947,0.010667878,0.165513099,0.110390497,0.187186587,0.199957838,0.132229915,0.188967034,0.005087153,0.025079076,0.201124973,0.103852817,0.242733307,0.051156547,0.025980457,0.111054183,0.23821503,0.00080361,0.664164143,0.335835857,0.002560219,0.011899611,0.157881045,0.394613237,0.196719324,0.076558309,0.15835055,0.001417705,0.006296819,0.038993071,0.269313967,0.41621487,0.195379523,0.065774079,0.008027671,0.053598731,0.541178422,0.405222847,0.09611039,0.105234751,0.222299559,0.352462325,0.109873071,0.032237127,0.038684552,0.043098226,0.062368383,0.100318171,0,0.271429087,0.565884359,0.438752941,0.407071378,0.032915044,0.121260638,0
LTR1_2014,0.339339831,0.365794858,0.12345679,0.171408521,0.461154066,0.272820586,0.086391243,0.179634105,0.017382393,0.184280941,0.150123311,0.168680726,0.183198272,0.072089947,0.219767405,0.004477004,0.023125253,0.201498472,0.113944382,0.228062736,0.058524897,0.03108056,0.110130824,0.233632878,0,0.571560847,0.428439153,0.001455026,0.010978836,0.168474427,0.346732489,0.231122698,0.116861764,0.122460251,0.001914508,0.008503401,0.081752331,0.311907911,0.297345269,0.204087565,0.087069557,0.009333966,0.042261905,0.490740741,0.466997354,0.183568489,0.11,0.111878307,0.346316872,0.110008818,0.051587302,0.028439153,0.058201058,0.061501512,0.143163273,0.000109943,0.211870587,0.583354685,0.453605095,0.423756961,0.017195767,0.105442177,0
LTR1_2015,0.365498707,0.30080363,0.091170708,0.242526955,0.478719096,0.284381471,0.114798136,0.122101297,0.018186977,0.184068869,0.140300913,0.232329254,0.297929972,0.018368846,0.10273932,0.006075849,0.027929921,0.237260906,0.101475537,0.312357169,0.109796698,0.034413119,0.099074625,0.074857974,0.002834051,0.50095518,0.49904482,0,0.019654666,0.09734264,0.364613729,0.266788803,0.100265543,0.148917665,0.002416953,0.01073504,0.11704295,0.330617289,0.30502877,0.141843278,0.070772064,0.02396061,0.041587068,0.550991918,0.407421014,0.275377582,0.106820965,0.148824394,0.30473508,0.046350723,0.013225569,0.031190301,0.073475386,0.091055737,0.155670391,8.14E-05,0.334214219,0.418978226,0.498054054,0.433357787,0.003183933,0.065404226,0
LTR1_2016,0.304034424,0.312531366,0.154650789,0.228783421,0.582171545,0.213859488,0.133274024,0.070694942,0.038240065,0.307436633,0.085704441,0.25139108,0.233699339,0.009124557,0.069049969,0.005353915,0.049012776,0.380001131,0.080598762,0.267026379,0.066887919,0.028626139,0.076778086,0.050505562,0.000563244,0.42330452,0.57669548,0.000858277,0.003299002,0.142345242,0.277440342,0.192155437,0.201310244,0.177509553,0.005081903,0.022571571,0.16619127,0.47662895,0.190938908,0.067811686,0.053286044,0.022571571,0.00830383,0.392758288,0.598937882,0.057790652,0.138354254,0.217771698,0.255062046,0.128580624,0.010621178,0.037329686,0.154489862,0.113936273,0.271464814,0,0.251367879,0.363231034,0.641150465,0.290631143,0.0027894,0.065428992,0
LTR1_2017,0.391215268,0.300571503,0.058464833,0.249748396,0.531373907,0.274656565,0.077285712,0.116683816,0.0120012,0.15926052,0.260316744,0.335620985,0.134205579,0.022776149,0.073149449,0.002669374,0.018266521,0.199628483,0.175934861,0.307465394,0.078069612,0.07176244,0.075303717,0.070440918,0.003128055,0.529465158,0.470534842,0.003886794,0.047083741,0.191751618,0.461196062,0.112319165,0.110587747,0.071579976,0.001594896,0.007083825,0.100325627,0.417422021,0.262629648,0.163916924,0.04153813,0.007083825,0.023216031,0.463079179,0.51370479,0.271011187,0.054425546,0.175208863,0.315027262,0.058276312,0.032991202,0.04457478,0.048484848,0.074633431,0.092933126,0,0.286398548,0.546034895,0.432604332,0.514455711,0.008569567,0.04437039,0
LTR1_2020,0.388521463,0.324146122,0.066012002,0.221320413,0.465612418,0.275748144,0.078502927,0.180136511,0.01280971,0.156296204,0.153637525,0.233667061,0.163084897,0.022804146,0.253629787,0.00407067,0.017171527,0.176154996,0.125433916,0.230904439,0.076118065,0.057865364,0.110308829,0.205692151,0.000350713,0.508265139,0.491734861,0.003000546,0.02700491,0.175791053,0.416413374,0.229911112,0.081852442,0.064432973,0.001593591,0.007487194,0.071561417,0.303298475,0.238079239,0.294820642,0.075809973,0.008943061,0.101363884,0.508477905,0.390158211,0.222622295,0.089815603,0.121830878,0.319031824,0.096044735,0.080605565,0.021603928,0.048445172,0.071603928,0.124164821,0,0.304418985,0.499812265,0.464257765,0.460183043,0.006001091,0.069558101,0
LTR105_2010,0.360095957,0.313351166,0.126953125,0.199599752,0.431389859,0.29291896,0.148957028,0.126734153,0.015985974,0.237695164,0.100889995,0.335826337,0.233607105,0.004092262,0.064491305,0.007411859,0.022099434,0.308686756,0.079885913,0.32392479,0.062475198,0.041294643,0.103257241,0.053167691,0.005208333,0.680394345,0.319605655,0.000868056,0.032552083,0.24921875,0.374714782,0.110320724,0.102134895,0.128066259,0.002124452,0.009435877,0.108329951,0.674611066,0.123640422,0.052550054,0.021996753,0.009435877,0.005989583,0.48265625,0.511354167,0.165972222,0.113729167,0.068409722,0.434527778,0.111979167,0.012152778,0.028645833,0.064583333,0.0859375,0.132904412,0,0.244419643,0.536738445,0.593540469,0.355244253,0.001736111,0.049479167,0
LTR105_2012,0.4217846,0.408987345,0.030437816,0.138790239,0.294835844,0.297641039,0.109519952,0.298003165,0.000120891,0.194427551,0.299618391,0.274291245,0.04134498,0.115557723,0.073128621,0.001510598,0.002607769,0.185270969,0.168020492,0.260675977,0.121855754,0.031163805,0.166699518,0.063199875,0.000505843,0.883768979,0.116231021,0.040597526,0.020014781,0.52459124,0.307208803,0.023943559,0.045834825,0.037793201,1.61E-05,0.016489927,0.054619325,0.643086207,0.219313195,0.059317567,0.00588142,0.001292358,0.020308249,0.390486687,0.589205064,0.349152082,0.082957222,0.195719205,0.287054756,0.015466015,0.067636068,0.001526252,0.0004884,0.00848497,0.019900936,1.69E-05,0.372321928,0.599275252,0.302494252,0.464827747,0.092214664,0.140463338,0
