sample_id,site_id,site_code,date,day,month,year,trait,modality,CWM
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachaqua,tachaqua_egg,0.326237142
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachaqua,tachaqua_larva,0.391784115
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachaqua,tachaqua_nymph,0.149505103
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachaqua,tachaqua_adult,0.13247364
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachdisp,tachdisp_aquapass,0.407010092
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachdisp,tachdisp_aquaact,0.260603544
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachdisp,tachdisp_aerpass,0.124470836
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachdisp,tachdisp_aeract,0.207915528
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfeed,tachfeed_abs,0.003932636
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfeed,tachfeed_dpf,0.127851757
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfeed,tachfeed_shr,0.304849415
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfeed,tachfeed_scr,0.202835044
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfeed,tachfeed_fif,0.151127786
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfeed,tachfeed_pie,0.012850467
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfeed,tachfeed_pre,0.19008273
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfeed,tachfeed_par,0.006470165
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfood,tachfood_mior,0.016090639
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfood,tachfood_detl1,0.193715811
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfood,tachfood_dpg1,0.180770792
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfood,tachfood_limi,0.211211921
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfood,tachfood_lima,0.079377686
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfood,tachfood_dag1,0.055633774
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfood,tachfood_lmic,0.128007933
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfood,tachfood_lmac,0.131920415
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachfood,tachfood_vert,0.003271028
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachlifedur,tachlifedur_less1,0.693272075
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachlifedur,tachlifedur_gr1,0.306727925
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachloco,tachloco_flr,0.001524255
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachloco,tachloco_ssw,0.00432243
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachloco,tachloco_wsw,0.168279929
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachloco,tachloco_crw,0.481683912
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachloco,tachloco_bur,0.088327712
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachloco,tachloco_int,0.091822284
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachloco,tachloco_tat,0.163516853
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachloco,tachloco_pat,0.000522627
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachsize,tachsize_less0.25,0.002321277
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachsize,tachsize_0.25to0.5,0.041109358
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachsize,tachsize_0.5to1,0.290811772
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachsize,tachsize_1to2,0.434925864
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachsize,tachsize_2to4,0.209148273
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachsize,tachsize_4to8,0.01936218
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachsize,tachsize_gr8,0.002321277
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrepcyc,tachrepcyc_less1,0.062497205
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrepcyc,tachrepcyc_one,0.437893619
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrepcyc,tachrepcyc_gr1,0.499609176
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrepro,tachrepro_ovo,0.298026999
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrepro,tachrepro_fie,0.04696729
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrepro,tachrepro_cie,0.101890966
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrepro,tachrepro_fic,0.392643767
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrepro,tachrepro_frc,0.099104361
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrepro,tachrepro_vec,0.037383178
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrepro,tachrepro_tec,0.008095589
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrepro,tachrepro_ase,0.01588785
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachresist,tachresist_egg,0.077570093
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachresist,tachresist_coc,0.092990654
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachresist,tachresist_hou,0
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachresist,tachresist_did,0.137445066
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachresist,tachresist_non,0.691994187
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrespir,tachrespir_teg,0.396113592
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrespir,tachrespir_gil,0.58102259
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrespir,tachrespir_pls,0.003337784
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrespir,tachrespir_spi,0.019526035
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4.10.2010,4,10,2010,tachrespir,tachrespir_ves,0
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachaqua,tachaqua_egg,0.340418971
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachaqua,tachaqua_larva,0.326626856
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachaqua,tachaqua_nymph,0.095857723
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachaqua,tachaqua_adult,0.23709645
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachdisp,tachdisp_aquapass,0.465201859
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachdisp,tachdisp_aquaact,0.310520246
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachdisp,tachdisp_aerpass,0.097446025
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachdisp,tachdisp_aeract,0.12683187
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfeed,tachfeed_abs,0.014481317
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfeed,tachfeed_dpf,0.169766577
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfeed,tachfeed_shr,0.150821542
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfeed,tachfeed_scr,0.200481907
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfeed,tachfeed_fif,0.158059962
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfeed,tachfeed_pie,0.094426185
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfeed,tachfeed_pre,0.200543088
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfeed,tachfeed_par,0.011419421
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfood,tachfood_mior,0.021838865
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfood,tachfood_detl1,0.206860121
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfood,tachfood_dpg1,0.108670772
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfood,tachfood_limi,0.235325003
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfood,tachfood_lima,0.042128208
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfood,tachfood_dag1,0.072261455
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfood,tachfood_lmic,0.09076703
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfood,tachfood_lmac,0.214430504
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachfood,tachfood_vert,0.007718042
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachlifedur,tachlifedur_less1,0.531347576
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachlifedur,tachlifedur_gr1,0.468652424
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachloco,tachloco_flr,0
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachloco,tachloco_ssw,0.050739523
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachloco,tachloco_wsw,0.121329773
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachloco,tachloco_crw,0.394151309
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachloco,tachloco_bur,0.271089597
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachloco,tachloco_int,0.089887002
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachloco,tachloco_tat,0.070878305
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachloco,tachloco_pat,0.001924491
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachsize,tachsize_less0.25,0.008547738
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachsize,tachsize_0.25to0.5,0.086108058
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachsize,tachsize_0.5to1,0.281743482
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachsize,tachsize_1to2,0.205549627
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachsize,tachsize_2to4,0.279260797
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachsize,tachsize_4to8,0.116273784
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachsize,tachsize_gr8,0.022516514
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachrepcyc,tachrepcyc_less1,0.083566146
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachrepcyc,tachrepcyc_one,0.535176664
LTR1_2012_1.10.2012,LTR1,LTR1_2012,1.10.2012,1,10,2012,tachrepcyc,tachrepcyc_gr1,0.38125719
