site_code,flow,temp,sus_solid,alkalinity,o2_dis,pH,EC,BOD7,NH4-N,NO2-N,NO3-N,mineral-N,Tot-N,PO4-P,Tot-P
LTR1_2010,248.917,10.158,18.833,3.525,9.767,8.25,442.5,4.55,0.152,0.012,1.04,1.204,2.183,0.044,0.103
LTR1_2012,168.417,10.292,18.083,3.808,10.567,8.225,450.083,4.2,0.15,0.014,1.016,1.19,2.042,0.042,0.114
LTR1_2013,234.833,9.767,14.25,3.583,10.117,8.108,454.167,3.167,0.134,0.014,0.939,1.087,1.575,0.046,0.098
LTR1_2014,188.667,10.317,13.917,3.55,10.425,8.183,455.75,3.583,0.133,0.017,0.89,1.257,1.475,0.04,0.116
LTR1_2015,151.642,9.633,13.083,3.433,10.858,8.233,432.917,3.483,0.13,0.013,0.796,0.77,1.433,0.043,0.12
LTR1_2016,173.208,10.617,11.875,3.608,10.633,8.175,453.917,3.717,0.143,0.026,0.949,1.118,1.642,0.034,0.117
LTR1_2017,254.808,10.083,9.25,3.65,10.317,8.108,448.75,3.358,0.144,0.022,1.058,1.224,1.833,0.039,0.098
LTR1_2020,135.667,10.2,8.125,2.95,11.008,8.208,447.333,3.775,0.123,0.016,1.048,1.186,1.458,0.046,0.099
LTR105_2010,5.262,10.067,7.825,3.4,7.583,7.836,399.167,2.592,0.067,0.016,0.798,0.881,2.122,0.054,0.088
LTR105_2012,3.268,9.333,5.633,3.792,11.067,7.975,448.333,2.718,0.046,0.006,0.453,0.505,1.125,0.031,0.066
LTR105_2013,3.766,9.892,7.117,4.035,9.658,7.917,453.917,2.758,0.05,0.007,0.472,0.53,1.174,0.03,0.069
LTR105_2014,3.202,10.958,10.792,3.749,9.2,7.942,420.167,3.092,0.053,0.009,0.483,0.544,0.913,0.033,0.079
LTR105_2015,2.213,9.2,8.158,4.242,9.667,8.2,434.083,2.558,0.05,0.006,0.511,0.568,1.349,0.016,0.062
LTR105_2016,2.699,9.833,10.567,3.867,9.425,8.025,435.083,2.558,0.059,0.008,0.7,0.767,1.538,0.02,0.069
LTR105_2017,9.969,8.675,11.208,3.942,9.033,8.175,400.833,2.775,0.098,0.01,1.079,1.187,2.2,0.03,0.085
LTR105_2020,3.719,10.708,16.65,3.875,9.658,8.133,437.583,3.1,0.084,0.012,0.792,0.888,1.651,0.027,0.091
LTR11_2010,652,9.858,6.917,3.342,9.32,8.188,510.75,3.783,0.091,0.019,1.242,1.352,2.333,0.049,0.114
LTR11_2012,423.417,10.125,10.029,2.917,9.753,8.524,538.167,2.742,0.06,0.014,1.096,1.17,1.735,0.045,0.133
LTR11_2013,543.083,10.475,11.183,3.417,9.988,8.398,513.417,3.1,0.067,0.015,1.691,1.773,2.288,0.045,0.102
LTR11_2014,428,11.125,9.575,3.85,10.375,8.367,465.417,3.175,0.069,0.016,1.177,1.262,1.676,0.052,0.102
LTR11_2015,370.917,10.058,8.867,4.075,11.542,8.608,473.417,3.483,0.074,0.014,1.587,1.675,2.687,0.039,0.097
LTR11_2016,411.833,10.95,9.8,3.875,10.092,8.392,472.083,2.717,0.052,0.015,1.652,2.791,3.872,0.056,0.107
LTR11_2017,608.583,9.4,7.375,4.058,10.817,8.525,503.5,2.425,0.039,0.016,2.183,2.238,3.193,0.051,0.105
LTR11_2020,328.5,10.492,6.888,3.9,11.133,8.542,501.417,2.708,0.03,0.012,1.438,1.48,1.9,0.054,0.087
LTR127_2010,298.75,9.667,18.475,4.419,10.404,7.904,714.333,3.692,0.092,0.011,1.264,1.367,2.17,0.04,0.102
LTR127_2011,301.083,9.5,14.108,4.18,8.547,8.123,442.75,2.833,0.058,0.009,1.278,1.346,2.082,0.031,0.078
LTR127_2012,226.5,10.417,16.625,3.814,9.463,8.333,399,3.358,0.067,0.012,1.139,1.219,1.9,0.029,0.073
LTR127_2013,275.167,9.583,14.383,3.576,8.466,8.225,464.583,3.058,0.045,0.012,1.53,1.588,2.268,0.025,0.071
LTR127_2014,237.667,10.667,11.442,3.4,9.061,8.592,423,3.15,0.027,0.009,1.412,1.448,2.053,0.024,0.068
LTR127_2015,172.367,10.667,10.233,3.9,9.833,8.433,449.25,3.375,0.068,0.009,1.397,1.474,1.975,0.027,0.08
LTR127_2016,163.308,10.583,10.904,3.467,8.675,8.642,475.5,4.008,0.065,0.011,1.457,1.534,2.176,0.034,0.085
LTR127_2017,164.25,9.417,7.117,3.808,8.9,8.508,481.167,3.258,0.043,0.014,2.007,2.065,2.725,0.034,0.08
LTR127_2020,150.592,11.5,12.15,3.792,8.975,8.075,430.583,3.4,0.039,0.008,1.134,1.18,2.191,0.04,0.101
LTR1282_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1282_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1282_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1282_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1282_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1282_2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1282_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1282_2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR13_2010,542.75,9.833,13.742,4.382,10.417,7.901,522.167,4.051,0.082,0.011,1.33,1.424,2.233,0.037,0.098
LTR13_2011,486,9.5,12.958,4.219,8.675,8.113,437.917,3.225,0.073,0.009,1.227,1.309,1.994,0.031,0.085
LTR13_2012,403.917,10.25,14.192,4.007,9.167,8.358,410.667,3.2,0.064,0.009,1.055,1.128,1.817,0.025,0.067
LTR13_2013,473,9.917,13.717,3.457,8.593,8.283,460.25,3.65,0.053,0.012,1.43,1.495,2.122,0.023,0.083
LTR13_2014,438.333,11.5,12.908,3.85,8.4,8.517,442.167,3.908,0.049,0.011,1.306,1.367,2.02,0.023,0.076
LTR13_2015,329,10.667,14.167,3.908,9.583,8.467,458,3.458,0.069,0.01,1.395,1.474,2.055,0.028,0.077
LTR13_2016,319.833,10.583,10.75,3.45,8.975,8.683,465.667,3.792,0.072,0.011,1.437,1.521,2.169,0.032,0.085
LTR13_2017,321.908,9.25,8.075,3.817,8.9,8.408,476.75,3.075,0.04,0.023,1.979,2.043,2.708,0.037,0.082
LTR13_2020,295.333,11.333,10.167,3.742,9.033,8.075,431.833,3.533,0.04,0.008,1.165,1.213,1.944,0.039,0.095
LTR1301_2010,0.41,7.933,15.833,2.167,10.033,8.125,278.417,2.442,0.073,0.004,0.262,0.338,0.967,0.06,0.094
LTR1301_2012,0.4,7.533,16.333,2.3,10.65,8.05,280.917,1.733,0.056,0.005,0.151,0.211,0.908,0.06,0.1
LTR1301_2013,0.413,7.908,13.583,2.467,10.883,7.992,280.833,1.356,0.038,0.005,0.156,0.199,0.503,0.061,0.097
LTR1301_2014,0.429,8.225,14.75,2.292,10.975,8.058,276.333,1.197,0.038,0.003,0.095,0.13,0.375,0.063,0.1
LTR1301_2015,0.416,7.442,9.75,2.225,11.133,8.042,270.083,1.117,0.027,0.004,0.093,0.116,0.267,0.075,0.094
LTR1301_2016,0.41,7.65,6.125,2.583,11.142,8.017,269.75,1.541,0.046,0.003,0.103,0.151,0.275,0.063,0.089
LTR1301_2017,0.409,7.992,6.292,2.417,10.917,8.067,271.667,1.542,0.053,0.003,0.142,0.198,0.325,0.056,0.087
LTR1301_2020,0.428,8.067,4.208,2.233,11.233,8.058,279.333,2.483,0.028,0.004,0.196,0.215,0.375,0.033,0.078
LTR1319_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1319_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1319_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1319_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1319_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1319_2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1319_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR1319_2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR133_2010,69.667,9.342,8.808,3.567,8.967,8.126,517.583,2.633,0.101,0.012,1.064,1.177,2.103,0.044,0.089
LTR133_2012,48.017,9.517,7.142,3.667,8.987,8.24,571.75,2.192,0.054,0.01,0.797,0.861,1.303,0.033,0.062
LTR133_2013,61.775,9.225,11.188,3.917,9.56,8.321,482.583,2.233,0.037,0.009,0.939,0.986,1.651,0.032,0.068
LTR133_2014,40.808,9.875,14.2,4.9,10.292,8.408,519.583,2.725,0.04,0.011,0.83,0.881,1.444,0.03,0.076
LTR133_2015,44.033,9.117,7.163,4.967,11.125,8.508,519.167,2.342,0.036,0.009,1.253,1.298,2.062,0.028,0.06
LTR133_2016,41.133,9.983,8.313,4.95,9.575,8.25,530.25,2.342,0.034,0.01,1.081,1.124,1.796,0.028,0.057
LTR133_2017,67.164,8.7,10.083,4.65,10.683,8.342,501.25,2.058,0.04,0.012,1.634,1.686,2.093,0.035,0.076
