site_id,study_id,Country,season,TaxonomicRes,River,Longitude_X,Latitude_Y,Starting_year,Ending_year,Year_count,Sampling_years,River_type,Heavily_modified,Heavily_modified_code
LTR1,Lithuania_1,Lithuania,Autumn,species,Nemunas,54.0306,23.9684,2010,2020,11,8,4,No,0
LTR105,Lithuania_2,Lithuania,Autumn,species,Birveta,55.2845,26.7849,2010,2020,11,8,2,No,0
LTR11,Lithuania_3,Lithuania,Autumn,species,Nemunas,55.0701,22.578,2010,2020,11,8,4,Yes,1
LTR127,Lithuania_4,Lithuania,Autumn,species,Skirvytr,55.2913,21.3772,2010,2020,11,9,4,No,0
LTR1282,Lithuania_5,Lithuania,Autumn,species,Krazante,55.6678,23.0358,2010,2020,11,8,3,No,0
LTR13,Lithuania_6,Lithuania,Autumn,species,Nemunas,55.2726,21.4106,2010,2020,11,9,4,Yes,1
LTR1301,Lithuania_7,Lithuania,Autumn,species,Skroblus,54.0906,24.2934,2010,2020,11,8,1,No,0
LTR1319,Lithuania_8,Lithuania,Autumn,species,Sventoji,55.6208,25.4354,2010,2020,11,8,4,No,0
LTR133,Lithuania_9,Lithuania,Autumn,species,Sventoji,55.0933,24.5299,2010,2020,11,8,5,No,0
LTR1348,Lithuania_10,Lithuania,Autumn,species,Lakaja,55.1295,25.8405,2010,2020,11,8,2,No,0
LTR137,Lithuania_11,Lithuania,Autumn,species,Sesupe,54.962,22.7276,2010,2020,11,8,4,No,0
LTR1438,Lithuania_12,Lithuania,Autumn,species,Saria,55.0526,25.8742,2010,2020,11,8,1,No,0
LTR1462,Lithuania_13,Lithuania,Autumn,species,Jura,55.5031,22.0195,2010,2020,11,9,2,No,0
LTR161,Lithuania_14,Lithuania,Autumn,species,Merkys,54.37,24.8748,2010,2020,11,8,2,No,0
LTR175,Lithuania_15,Lithuania,Autumn,species,Mera/Kuna,55.0217,25.8575,2010,2020,11,8,3,No,0
LTR192,Lithuania_16,Lithuania,Autumn,species,Armona,55.1921,24.689,2010,2020,11,8,3,No,0
LTR231,Lithuania_17,Lithuania,Autumn,species,Saltuona,55.3031,23.0187,2010,2020,11,8,1,No,0
LTR245,Lithuania_18,Lithuania,Autumn,species,Dotnuvele,55.351,23.906,2010,2020,11,8,3,No,0
LTR26,Lithuania_19,Lithuania,Autumn,species,Sesupe,54.3569,23.0636,2010,2020,11,8,3,Yes,1
LTR268,Lithuania_20,Lithuania,Autumn,species,Vilka,55.1628,21.9385,2010,2020,11,9,2,Yes,1
LTR325,Lithuania_21,Lithuania,Autumn,species,Dysna,55.355,26.4257,2010,2020,11,8,2,No,0
LTR327,Lithuania_22,Lithuania,Autumn,species,Sventoji,55.5743,25.0506,2010,2020,11,8,4,No,0
LTR33,Lithuania_23,Lithuania,Autumn,species,Dubysa,55.0839,23.4315,2010,2020,11,8,5,No,0
LTR387,Lithuania_24,Lithuania,Autumn,species,Nevezis,55.7003,24.4333,2010,2020,11,8,2,No,0
LTR40,Lithuania_25,Lithuania,Autumn,species,Nevezis,54.9537,23.801,2010,2020,11,8,4,No,0
LTR401,Lithuania_26,Lithuania,Autumn,species,Rausve,54.6646,23.242,2010,2020,11,8,3,No,0
LTR41,Lithuania_27,Lithuania,Autumn,species,Susve,55.1774,23.8281,2010,2020,11,8,5,No,0
LTR43,Lithuania_28,Lithuania,Autumn,species,Neris,54.8387,25.742,2010,2020,11,8,4,No,0
LTR450,Lithuania_29,Lithuania,Autumn,species,Ringuva,56.0504,22.9727,2010,2020,11,8,2,No,0
LTR50,Lithuania_30,Lithuania,Autumn,species,Neris,54.9585,23.9399,2010,2020,11,8,5,No,0
LTR612,Lithuania_31,Lithuania,Autumn,species,Nemunas,55.0839,21.9061,2010,2020,11,9,4,Yes,1
LTR62,Lithuania_32,Lithuania,Autumn,species,Zeimena,55.2527,25.9913,2010,2020,11,8,2,No,0
LTR65,Lithuania_33,Lithuania,Autumn,species,Zeimena,54.9606,25.7104,2010,2020,11,8,5,No,0
LTR70,Lithuania_34,Lithuania,Autumn,species,Merkys,54.1106,24.2801,2010,2020,11,8,5,No,0
LTR78,Lithuania_35,Lithuania,Autumn,species,Bartuva,56.1999,21.5737,2010,2020,11,9,3,No,0
LTR787,Lithuania_36,Lithuania,Autumn,species,Minija,55.8322,21.8818,2010,2020,11,8,3,No,0
LTR79,Lithuania_37,Lithuania,Autumn,species,Bartuva,56.2862,21.5012,2010,2020,11,9,3,No,0
LTR82,Lithuania_38,Lithuania,Autumn,species,Venta,56.3953,22.2333,2010,2020,11,8,5,No,0
LTR86,Lithuania_39,Lithuania,Autumn,species,Musa,56.2289,24.4075,2010,2020,11,8,5,No,0
LTR88,Lithuania_40,Lithuania,Autumn,species,Sidabra,56.3422,23.6155,2010,2020,11,8,1,Yes,1
LTR92,Lithuania_41,Lithuania,Autumn,species,Tatula,56.1721,24.6351,2010,2020,11,8,3,No,0
