taxonname
Ablabesmyia monilis
Ablabesmyia sp.
Acentrella inexpectata
Acentria ephemerella
Acilius canaliculatus Ad.
Acilius sp. Ad.
Acroloxus lacustris
Aeshna caerulea
Aeshna cyanea
Aeshna grandis
Aeshna juncea
Aeshna sp.
Agabus sp. Ad.
Agapetus ochripes
Agapetus sp.
Agraylea multipunctata
Agrypnia obsoleta
Agrypnia pagetana
Allotrichia pallicornis
Ametropus sp.
Ampullaceana ampla
Ampullaceana balthica
Ampullaceana lagotis
Anabolia laevis
Anabolia sp.
Anax imperator
Anax parthenope
Ancylus fluviatilis
Anisus sp.
Anisus spirorbis
Anisus vortex
Anodonta anatina
Anodonta cygnea
Anodonta sp.
Anopheles sp.
Apatania auricula
Apatania sp.
Aphelocheirus aestivalis
Asellus aquaticus
Astacus leptodactylus
Astacus sp.
Athericidae Gen. sp.
Atherix ibis
Atherix sp.
Athripsodes albifrons
Athripsodes aterrimus
Athripsodes bilineatus ssp.
Athripsodes cinereus
Athripsodes sp.
Atrichops crassipes
Atrichops sp.
Baetidae Gen. sp.
Baetis digitatus
Baetis fuscatus
Baetis rhodani
Baetis scambus
Baetis sp.
Baetis tricolor
Bathyomphalus contortus
Beraea pullata
Beraeodes minutus
Berosus sp. Ad.
Bezzia sp.
Bithynia leachii ssp.
Bithynia tentaculata
Bithynia transsilvanica
Borysthenia naticina
Brachycentrus maculatus
Brachycentrus sp.
Brachycentrus subnubilus
Brachycercus harrisella
Brachytron pratense
Brillia sp.
Brychius elevatus Ad.
Caenidae Gen. sp.
Caenis horaria
Caenis luctuosa
Caenis macrura
Caenis sp.
Callicorixa praeusta ssp.
Calopteryx sp.
Calopteryx splendens
Calopteryx virgo
Capnia sp.
Capnopsis schilleri ssp.
Cataclysta lemnata
Centroptilum luteolum
Ceraclea albimacula
Ceraclea annulicornis
Ceraclea fulva
Ceraclea sp.
Ceratopogonidae Gen. sp.
Chaetogammarus warpachowskyi
Chaetopteryx villosa ssp.
Chaoborus crystallinus
Chelicorophium curvispinum
Cheumatopsyche lepida
Chironomidae Gen. sp.
Chironominae Gen. sp.
Chironomus dorsalis
Chironomus plumosus
Chironomus riparius
Chironomus sp.
Chloroperla sp.
Chrysopilus sp.
Chrysops sp.
Clinotanypus nervosus
Cloeon dipterum
Cloeon simile
Cloeon sp.
Coenagrion armatum
Coenagrion puella
Coenagrion pulchellum
Coenagrion sp.
Coenagrionidae Gen. sp.
Colymbetinae Gen. sp. Ad.
Cordulegaster boltonii
Cordulia aenea
Corixa sp.
Corixidae Gen. sp.
Corophiidae Gen. sp.
Cricotopus sp.
Cricotopus sylvestris
Crunoecia irrorata ssp.
Crunoecia sp.
Cryptochironomus defectus
Cryptochironomus sp.
Cybister lateralimarginalis Ad.
Cymatia coleoptrata
Cyrnus crenaticornis
Cyrnus flavidus
Cyrnus insolutus
Cyrnus trimaculatus
Dendrocoelum lacteum
Deronectes latus Ad.
Diamesinae Gen. sp.
Dicranota bimaculata
Dixa sp.
Dixella sp.
Dixidae Gen. sp.
Dolichopodidae Gen. sp.
Dreissena polymorpha
Dryopidae Gen. sp. Ad.
Dugesiidae Gen. sp.
Dytiscidae Gen. sp. Ad.
Dytiscus marginalis Ad.
Dytiscus sp. Ad.
Eiseniella tetraedra
Elmidae Gen. sp. Ad.
Elmis aenea Ad.
Elmis sp. Ad.
Elodes sp. Ad.
Eloeophila sp.
Elophila sp.
Empididae Gen. sp.
Enallagma cyathigerum
Enallagma sp.
Endochironomus sp.
Endochironomus tendens
Ephemera danica
Ephemera lineata
Ephemera sp.
Ephemera vulgata
Ephemerella sp.
Ephydridae Gen. sp.
Epitheca bimaculata
Erpobdella octoculata
Erythromma najas
Erythromma viridulum
Esolus sp. Ad.
Galba truncatula
Gammarus lacustris
Gammarus pulex
Gammarus sp.
Gerris lacustris
Gerris sp.
Glossiphonia complanata
Glossiphonia concolor
Glossiphonia heteroclita
Glossosoma boltoni
Goera pilosa
Goeridae Gen. sp.
Gomphus flavipes
Gomphus sp.
Gomphus vulgatissimus
Grammotaulius nigropunctatus
Gyraulus albus
Gyraulus crista
Gyraulus riparius
Gyraulus rossmaessleri
Gyraulus sp.
Gyrinidae Gen. sp. Ad.
Gyrinus aeratus Ad.
Gyrinus minutus Ad.
Gyrinus natator Ad.
Gyrinus paykulli Ad.
Gyrinus sp. Ad.
Habrophlebia fusca
Habrophlebia lauta
Haemopis sanguisuga
Haemopis sp.
Halesus digitatus ssp.
Halesus radiatus
Halesus sp.
Haliplidae Gen. sp. Ad.
Haliplus confinis Ad.
Haliplus flavicollis Ad.
Haliplus fluviatilis Ad.
Haliplus lineolatus Ad.
Haliplus ruficollis Ad.
Haliplus sp. Ad.
Helobdella stagnalis
Hemiclepsis marginata
Heptagenia coerulans
Heptagenia flava
Heptagenia longicauda
Heptagenia sp.
Heptagenia sulphurea
Hesperocorixa sahlbergi
Hesperocorixa sp.
Holocentropus dubius
Hydatophylax infumatus
Hydraena gracilis Ad.
Hydraena sp. Ad.
Hydraenidae Gen. sp. Ad.
Hydrochus sp. Ad.
Hydrophilidae Gen. sp. Ad.
Hydropsyche angustipennis ssp.
Hydropsyche contubernalis ssp.
Hydropsyche pellucidula
Hydropsyche siltalai
Hydropsyche sp.
Hydropsychidae Gen. sp.
Hydroptila sp.
Hydroptila tineoides
Hydroptilidae Gen. sp.
Hygrotus inaequalis Ad.
Hyphydrus ovatus Ad.
Ilybius sp. Ad.
Ilyocoris cimicoides ssp.
Ischnura elegans
Ischnura pumilio
Ischnura sp.
Isogenus nubecula
Isoperla difformis
Isoperla grammatica
Isoperla obscura
Isoperla sp.
Isoptena serricornis
Ithytrichia lamellaris
Kageronia fuscogrisea
Laccobius sp. Ad.
Laccophilus hyalinus Ad.
Laccophilus sp. Ad.
Lepidostoma basale
Lepidostoma hirtum
Leptoceridae Gen. sp.
Leptocerus interruptus
Leptocerus sp.
Leptocerus tineiformis
Leptophlebia marginata
Leptophlebia sp.
Leptophlebia vespertina
Leptophlebiidae Gen. sp.
Lestes sp.
Lestidae Gen. sp.
Leuctra digitata
Leuctra fusca ssp.
Leuctra hippopus
Leuctra nigra
Leuctra sp.
Libellula quadrimaculata
Libellula sp.
Limnephilidae Gen. sp.
Limnephilus affinis
Limnephilus binotatus
Limnephilus bipunctatus
Limnephilus borealis
Limnephilus decipiens
Limnephilus flavicornis
Limnephilus fuscicornis
Limnephilus lunatus
Limnephilus politus
Limnephilus rhombicus ssp.
Limnephilus sp.
Limnephilus stigma
Limnephilus vittatus
Limnius sp. Ad.
Limnius volckmari Ad.
Limnomysis benedeni
Limoniidae Gen. sp.
Lithax obscurus
Lithoglyphus naticoides
Lumbriculus sp.
Lumbriculus variegatus
Lymnaea sp.
Lymnaea stagnalis
Lymnaeidae Gen. sp.
Lype reducta
Mesovelia furcata
Micrasema setiferum ssp.
Micrasema sp.
Micronecta minutissima
Micronecta sp.
Micropterna lateralis
Micropterna sequax
Microtendipes chloris
Microvelia sp.
Molanna angustata
Molanna sp.
Muscidae Gen. sp.
Musculium lacustre
Mysidae Gen. sp.
Mystacides azurea
Mystacides longicornis
Mystacides nigra
Mystacides sp.
Nebrioporus depressus Ad.
Nebrioporus sp. Ad.
Nemotaulius punctatolineatus
Nemoura cinerea ssp.
Nemoura dubitans
Nemoura sp.
Nemurella pictetii
Nepa cinerea
Neureclipsis bimaculata
Notidobia ciliaris
Notiphila riparia
Notonecta glauca ssp.
Notonecta lutea
Notonecta sp.
Obesogammarus crassus
Ochthebius sp. Ad.
Odontomyia sp.
Oecetis furva
Oecetis notata
Oecetis ochracea
Oecetis sp.
Oligochaeta Gen. sp.
Onychogomphus forcipatus
Ophiogomphus cecilia
Oplodontha viridula
Orconectes limosus
Orectochilus villosus Ad.
Orthetrum cancellatum
Orthocladiinae Gen. sp.
Orthotrichia costalis
Oulimnius sp. Ad.
Oulimnius troglodytes Ad.
Oxycera sp.
Oxyethira flavicornis
Oxyethira sp.
Palpomyia sp.
Paraleptophlebia cincta
Paraleptophlebia sp.
Paraleptophlebia submarginata
Paraleptophlebia werneri
Paramysis lacustris
Parapoynx stratiotata
Pedicia sp.
Peregriana peregra
Pericoma sp.
Perlodes dispar
Perlodes sp.
Phryganea bipunctata
Phryganea grandis ssp.
Physa fontinalis
Physa sp.
Physella acuta
Pilaria sp.
Piscicola geometra
Pisidium amnicum
Pisidium casertanum ssp.
Pisidium henslowanum
Pisidium nitidum
Pisidium pulchellum
Pisidium sp.
Pisidium subtruncatum
Pisidium supinum
Placobdella costata
Planaria sp.
Planaria torva
Planorbarius corneus
Planorbidae Gen. sp.
Planorbis carinatus
Planorbis planorbis
Planorbis sp.
Platambus maculatus Ad.
Platycnemis pennipes
Platycnemis sp.
Plea minutissima ssp.
Plectrocnemia conspersa ssp.
Plectrocnemia sp.
Polycentropodidae Gen. sp.
Polycentropus flavomaculatus ssp.
Polycentropus irroratus
Polycentropus sp.
Polypedilum exsectum
Polypedilum sp.
Pontogammarus robustoides
Potamanthus luteus
Potamophylax latipennis
Potamophylax rotundipennis
Potamophylax sp.
Procladius ferrugineus
Procladius sp.
Procloeon sp.
Protonemura sp.
Psectrotanypus sp.
Pseudanodonta complanata ssp.
Pseudanodonta sp.
Pseudocentroptiloides nana
Psychoda pusilla
Psychoda sp.
Psychodidae Gen. sp.
Psychomyia pusilla
Ptychoptera sp.
Pyrrhosoma nymphula
Radix auricularia
Radix sp.
Ranatra linearis
Rhyacophila fasciata ssp.
Rhyacophila nubila
Rhyacophila pascoei
Rhyacophila sp.
Segmentina nitida
Sergentia coracina
Sericostoma personatum
Sericostoma schneideri
Sericostoma sp.
Serratella ignita
Sialis fuliginosa
Sialis lutaria
Sialis sp.
Sigara falleni
Sigara fossarum
Sigara hellensii
Sigara semistriata
Sigara sp.
Sigara striata
Silo pallipes
Simuliidae Gen. sp.
Simulium sp.
Somatochlora flavomaculata
Somatochlora metallica
Sphaeriidae Gen. sp.
Sphaerium corneum
Sphaerium rivicola
Sphaerium solidum
Sphaerium sp.
Stagnicola corvus
Stagnicola palustris
Stenophylax permistus
Stratiomys sp.
Stylaria lacustris
Synendotendipes impar
Synurella ambulans
Syrphidae Gen. sp.
Tabanidae Gen. sp.
Tabanus sp.
Taeniopteryx nebulosa
Tanypodinae Gen. sp.
Tanypus vilipennis
Tanytarsus sp.
Telmatoscopus sp.
Theodoxus fluviatilis
Theromyzon tessulatum
Thienemannimyia lentiginosa
Tinodes waeneri ssp.
Tipula lateralis
Tipula sp.
