sample_id,site_id,site_code,day,month,year,taxon_code,taxon_name,taxon_id,abundance,ept,epto,coleoptera,diptera,insect,mollusc,annelid,crustacea,group
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Ametropus_sp.;14415,Ametropus_sp.,14415,4,Yes,Yes,NA,NA,Yes,NA,NA,NA,Ephemeroptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Anabolia_sp.;4301,Anabolia_sp.,4301,1,Yes,Yes,NA,NA,Yes,NA,NA,NA,Trichoptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Aphelocheirus_aestivalis;4335,Aphelocheirus_aestivalis,4335,3,NA,NA,NA,NA,Yes,NA,NA,NA,Hemiptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Asellus_aquaticus;8691,Asellus_aquaticus,8691,22,NA,NA,NA,NA,NA,NA,NA,Yes,Crustacea
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Baetis_sp.;4419,Baetis_sp.,4419,33,Yes,Yes,NA,NA,Yes,NA,NA,NA,Ephemeroptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Brachycentrus_subnubilus;4481,Brachycentrus_subnubilus,4481,40,Yes,Yes,NA,NA,Yes,NA,NA,NA,Trichoptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Calopteryx_splendens;4530,Calopteryx_splendens,4530,8,NA,Yes,NA,NA,Yes,NA,NA,NA,Odonata
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Chironomidae_Gen._sp.;4642,Chironomidae_Gen._sp.,4642,59,NA,NA,NA,Yes,Yes,NA,NA,NA,Diptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Corophiidae_Gen._sp.;9280,Corophiidae_Gen._sp.,9280,31,NA,NA,NA,NA,NA,NA,NA,Yes,Crustacea
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Ephemera_danica;5124,Ephemera_danica,5124,1,Yes,Yes,NA,NA,Yes,NA,NA,NA,Ephemeroptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Erpobdella_octoculata;5159,Erpobdella_octoculata,5159,25,NA,NA,NA,NA,NA,NA,Yes,NA,Hirudinea
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Gammarus_pulex;5291,Gammarus_pulex,5291,1,NA,NA,NA,NA,NA,NA,NA,Yes,Crustacea
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Gammarus_sp.;5293,Gammarus_sp.,5293,65,NA,NA,NA,NA,NA,NA,NA,Yes,Crustacea
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Gomphus_sp.;5331,Gomphus_sp.,5331,1,NA,Yes,NA,NA,Yes,NA,NA,NA,Odonata
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Gomphus_vulgatissimus;5332,Gomphus_vulgatissimus,5332,2,NA,Yes,NA,NA,Yes,NA,NA,NA,Odonata
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Gyrinus_sp._Ad.;12412,Gyrinus_sp._Ad.,12412,2,NA,NA,Yes,NA,Yes,NA,NA,NA,Coleoptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Heptagenia_sp.;5456,Heptagenia_sp.,5456,10,Yes,Yes,NA,NA,Yes,NA,NA,NA,Ephemeroptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Heptagenia_sulphurea;5457,Heptagenia_sulphurea,5457,19,Yes,Yes,NA,NA,Yes,NA,NA,NA,Ephemeroptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Hydropsyche_contubernalis_ssp.;5592,Hydropsyche_contubernalis_ssp.,5592,40,Yes,Yes,NA,NA,Yes,NA,NA,NA,Trichoptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Hydropsyche_siltalai;5604,Hydropsyche_siltalai,5604,2,Yes,Yes,NA,NA,Yes,NA,NA,NA,Trichoptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Hydropsychidae_Gen._sp.;8474,Hydropsychidae_Gen._sp.,8474,1,Yes,Yes,NA,NA,Yes,NA,NA,NA,Trichoptera
