taxonname,aqem
Ablabesmyia monilis,8357
Ablabesmyia sp.,8854
Acentrella inexpectata,10670
Acentria ephemerella,9453
Acilius canaliculatus Ad.,11767
Acilius sp. Ad.,11768
Acroloxus lacustris,4205
Aeshna caerulea,7427
Aeshna cyanea,4222
Aeshna grandis,4223
Aeshna juncea,7404
Aeshna sp.,4226
Agabus sp. Ad.,11659
Agapetus ochripes,4253
Agapetus sp.,4254
Agraylea multipunctata,4255
Agrypnia obsoleta,4258
Agrypnia pagetana,4259
Allotrichia pallicornis,4274
Ametropus sp.,14415
Ampullaceana ampla,8034
Ampullaceana balthica,16959
Ampullaceana lagotis,13443
Anabolia laevis,4299
Anabolia sp.,4301
Anax imperator,4308
Anax parthenope,7430
Ancylus fluviatilis,4310
Anisus sp.,8874
Anisus spirorbis,4317
Anisus vortex,4318
Anodonta anatina,7381
Anodonta cygnea,4324
Anodonta sp.,4326
Anopheles sp.,4328
Apatania auricula,10656
Apatania sp.,4334
Aphelocheirus aestivalis,4335
Asellus aquaticus,8691
Astacus leptodactylus,4358
Astacus sp.,4359
Athericidae Gen. sp.,7750
Atherix ibis,4363
Atherix sp.,4365
Athripsodes albifrons,4366
Athripsodes aterrimus,4367
Athripsodes bilineatus ssp.,21232
Athripsodes cinereus,4369
Athripsodes sp.,4371
Atrichops crassipes,4374
Atrichops sp.,10667
Baetidae Gen. sp.,4380
Baetis digitatus,4394
Baetis fuscatus,4397
Baetis rhodani,4415
Baetis scambus,4416
Baetis sp.,4419
Baetis tricolor,4424
Bathyomphalus contortus,4433
Beraea pullata,4441
Beraeodes minutus,4444
Berosus sp. Ad.,9567
Bezzia sp.,4452
Bithynia leachii ssp.,19308
Bithynia tentaculata,4462
Bithynia transsilvanica,16772
Borysthenia naticina,4471
Brachycentrus maculatus,6184
Brachycentrus sp.,4480
Brachycentrus subnubilus,4481
Brachycercus harrisella,4482
Brachytron pratense,4491
Brillia sp.,4497
Brychius elevatus Ad.,12428
Caenidae Gen. sp.,8416
Caenis horaria,4519
Caenis luctuosa,4521
Caenis macrura,4522
Caenis sp.,4528
Callicorixa praeusta ssp.,19312
Calopteryx sp.,4531
Calopteryx splendens,4530
Calopteryx virgo,4532
Capnia sp.,4552
Capnopsis schilleri ssp.,21438
Cataclysta lemnata,9456
Centroptilum luteolum,8850
Ceraclea albimacula,4577
Ceraclea annulicornis,4579
Ceraclea fulva,4581
Ceraclea sp.,4584
Ceratopogonidae Gen. sp.,4585
Chaetogammarus sp.,12327
Chaetopteryx villosa ssp.,21248
Chaoborus crystallinus,4632
Chelicorophium curvispinum,22441
Cheumatopsyche lepida,4639
Chironomidae Gen. sp.,4642
Chironominae Gen. sp.,4643
Chironomus dorsalis,8040
Chironomus plumosus,4656
Chironomus riparius,4660
Chironomus sp.,4663
Chloroperla sp.,4671
Chrysopilus sp.,14467
Chrysops sp.,9324
Clinotanypus nervosus,4702
Cloeon dipterum,4705
Cloeon simile,4708
Cloeon sp.,4709
Coenagrion armatum,7424
Coenagrion puella,4719
Coenagrion pulchellum,4720
Coenagrion sp.,4722
Coenagrionidae Gen. sp.,4723
Colymbetinae Gen. sp. Ad.,11722
Cordulegaster boltonii,4740
Cordulia aenea,4741
Corixa sp.,4746
Corixidae Gen. sp.,8491
Corophiidae Gen. sp.,9280
Cricotopus sp.,7476
Cricotopus sylvestris,4805
Crunoecia irrorata ssp.,19320
Crunoecia sp.,8946
Cryptochironomus defectus,4823
Cryptochironomus sp.,4831
Cybister lateralimarginalis Ad.,11770
Cymatia coleoptrata,4849
Cyrnus crenaticornis,4873
Cyrnus flavidus,4874
Cyrnus insolutus,4875
Cyrnus trimaculatus,4877
Dendrocoelum lacteum,4911
Deronectes latus Ad.,11829
Diamesinae Gen. sp.,4950
Dicranota bimaculata,7186
Dixa sp.,4989
Dixella sp.,10349
Dixidae Gen. sp.,4990
Dolichopodidae Gen. sp.,8427
Dreissena polymorpha,4999
Dryopidae Gen. sp. Ad.,8446
Dugesiidae Gen. sp.,9365
Dytiscidae Gen. sp. Ad.,11625
Dytiscus marginalis Ad.,11782
Dytiscus sp. Ad.,11784
Eiseniella tetraedra,5075
Elmidae Gen. sp. Ad.,12061
Elmis aenea Ad.,12066
Elmis sp. Ad.,12072
Elodes sp. Ad.,14050
Eloeophila sp.,9654
Elophila sp.,9460
Empididae Gen. sp.,5097
Enallagma cyathigerum,5100
Enallagma sp.,8971
Endochironomus sp.,5105
Endochironomus tendens,5106
Ephemera danica,5124
Ephemera lineata,5127
Ephemera sp.,5128
Ephemera vulgata,5129
Ephemerella sp.,5137
Ephydridae Gen. sp.,9599
Epitheca bimaculata,5146
Erpobdella octoculata,5159
Erythromma najas,5164
Erythromma viridulum,5165
Esolus sp. Ad.,12084
Galba truncatula,5284
Gammarus lacustris,5290
Gammarus pulex,5291
Gammarus sp.,5293
Gerris lacustris,5299
Gerris sp.,5303
Glossiphonia complanata,5304
Glossiphonia concolor,5307
Glossiphonia sp.,5310
