taxon_code,taxon_name,taxon_id,group,group2,tachaqua_egg,tachaqua_larva,tachaqua_nymph,tachaqua_adult,tachdisp_aquapass,tachdisp_aquaact,tachdisp_aerpass,tachdisp_aeract,tachfeed_abs,tachfeed_dpf,tachfeed_shr,tachfeed_scr,tachfeed_fif,tachfeed_pie,tachfeed_pre,tachfeed_par,tachfood_mior,tachfood_detl1,tachfood_dpg1,tachfood_limi,tachfood_lima,tachfood_dag1,tachfood_lmic,tachfood_lmac,tachfood_vert,tachlifedur_less1,tachlifedur_gr1,tachloco_flr,tachloco_ssw,tachloco_wsw,tachloco_crw,tachloco_bur,tachloco_int,tachloco_tat,tachloco_pat,tachsize_less0.25,tachsize_0.25to0.5,tachsize_0.5to1,tachsize_1to2,tachsize_2to4,tachsize_4to8,tachsize_gr8,tachrepcyc_less1,tachrepcyc_one,tachrepcyc_gr1,tachrepro_ovo,tachrepro_fie,tachrepro_cie,tachrepro_fic,tachrepro_frc,tachrepro_vec,tachrepro_tec,tachrepro_ase,tachresist_egg,tachresist_coc,tachresist_hou,tachresist_did,tachresist_non,tachrespir_teg,tachrespir_gil,tachrespir_pls,tachrespir_spi,tachrespir_ves
Ablabesmyia_monilis;8357,Ablabesmyia_monilis,8357,Diptera,DIP,0,3,3,0,1.857142857,1,1.571428571,1,0,1.5,1,1.25,0.75,0,1.75,0.25,0.25,2.5,0.5,1.5,0.5,0.25,1.75,1.5,0,3,0,0,0,1.75,2.5,1.5,0.75,1,0,0,0.857142857,2.714285714,1.142857143,0.285714286,0,0,0,1.428571429,2.142857143,0.5,0,0,1,3,0,0,0,0,0,0,0.5,3,3,1,0,0,0
Ablabesmyia_sp.;8854,Ablabesmyia_sp.,8854,Diptera,DIP,0,3,3,0,1.857142857,1,1.571428571,1,0,1.5,1,1.25,0.75,0,1.75,0.25,0.25,2.5,0.5,1.5,0.5,0.25,1.75,1.5,0,3,0,0,0,1.75,2.5,1.5,0.75,1,0,0,0.857142857,2.714285714,1.142857143,0.285714286,0,0,0,1.428571429,2.142857143,0.5,0,0,1,3,0,0,0,0,0,0,0.5,3,3,1,0,0,0
Acentrella_inexpectata;10670,Acentrella_inexpectata,10670,Ephemeroptera,EPH,3,3,0,0,2,1,1,2,0,1,0,3,0,0,0,0,0,2,1,3,1,0,0,0,0,3,0,0,0,1,4,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,2,0,0,0
Acentria_ephemerella;9453,Acentria_ephemerella,9453,Lepidoptera,LEP,2,3,3,2,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,3,0,0,2,0,0,0,3,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,3,0,3,0,3,0,0,1,0
Acilius_canaliculatus_Ad.;11767,Acilius_canaliculatus_Ad.,11767,Coleoptera,COL,3,3,0,2,0,1,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,3,1,0,3,1,0,3,3,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,3,0
Acilius_sp._Ad.;11768,Acilius_sp._Ad.,11768,Coleoptera,COL,3,3,0,2,0,1,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,3,1,0,3,1,0,3,3,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,3,0
Acroloxus_lacustris;4205,Acroloxus_lacustris,4205,Gastropoda,GAS,3,0,0,3,2,1,0,0,0,0,1,3,0,0,0,0,0,0,2,4,0,1,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0
Aeshna_caerulea;7427,Aeshna_caerulea,7427,Odonata,ODO,1,3,0,0,1,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,1,1,3,0,0,0,5,0,0,0,0,0,0,0,0,2,3,0,3,1,0,0,2,0,0,0,3,3,0,2,0,0,1,0,1,3,0,0,0
Aeshna_cyanea;4222,Aeshna_cyanea,4222,Odonata,ODO,1,3,0,0,1,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,1,1,3,0,0,0,5,0,0,0,0,0,0,0,0,2,3,0,3,1,0,0,2,0,0,0,3,3,0,2,0,0,1,0,1,3,0,0,0
Aeshna_grandis;4223,Aeshna_grandis,4223,Odonata,ODO,1,3,0,0,1,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,1,1,3,0,0,0,5,0,0,0,0,0,0,0,0,2,3,0,3,1,0,0,2,0,0,0,3,3,0,2,0,0,1,0,1,3,0,0,0
Aeshna_juncea;7404,Aeshna_juncea,7404,Odonata,ODO,1,3,0,0,1,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,1,1,3,0,0,0,5,0,0,0,0,0,0,0,0,2,3,0,3,1,0,0,2,0,0,0,3,3,0,2,0,0,1,0,1,3,0,0,0
Aeshna_sp.;4226,Aeshna_sp.,4226,Odonata,ODO,1,3,0,0,1,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,1,1,3,0,0,0,5,0,0,0,0,0,0,0,0,2,3,0,3,1,0,0,2,0,0,0,3,3,0,2,0,0,1,0,1,3,0,0,0
Agabus_sp._Ad.;11659,Agabus_sp._Ad.,11659,Coleoptera,COL,3,3,0,2,1,1,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,3,1,0,3,1,0,3,3,0,0,0,0,0,0,1,3,0,0,0,0,3,1,0,0,0,3,0,1,0,0,0,0,0,0,3,1,0,0,3,0
Agapetus_ochripes;4253,Agapetus_ochripes,4253,Trichoptera,TRI,3,3,3,0,1,2,1,1,0,1,0,3,0,0,0,0,0,1,0,5,0,0,0,0,0,3,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,2,0,2,0,3,0,0,0,0
Agapetus_sp.;4254,Agapetus_sp.,4254,Trichoptera,TRI,3,3,3,0,1,2,1,1,0,1,0,3,0,0,0,0,0,1,0,5,0,0,0,0,0,3,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,2,0,2,0,3,0,0,0,0
Agraylea_multipunctata;4255,Agraylea_multipunctata,4255,Trichoptera,TRI,3,3,3,0,1,1,1,1,0,1,0,0,0,3,0,0,0,2,0,2,4,0,0,0,0,3,0,0,0,1,3,0,0,1,0,0,3,1,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Agrypnia_obsoleta;4258,Agrypnia_obsoleta,4258,Trichoptera,TRI,3,3,3,0,1,3,1,2,0,0,3,1,0,0,1,0,0,0,1,3,1,1,2,4,0,2,3,0,0,0,5,0,0,0,0,0,0,0,1,3,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,2,3,0,0,0
Agrypnia_pagetana;4259,Agrypnia_pagetana,4259,Trichoptera,TRI,3,3,3,0,1,3,1,2,0,0,3,1,0,0,1,0,0,0,1,3,1,1,2,4,0,2,3,0,0,0,5,0,0,0,0,0,0,0,1,3,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,2,3,0,0,0
Allotrichia_pallicornis;4274,Allotrichia_pallicornis,4274,Trichoptera,TRI,3,3,3,0,1,1,1,1,0,1,0,3,0,1,0,0,0,3,0,1,1,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,3,2,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Ametropus_sp.;14415,Ametropus_sp.,14415,Ephemeroptera,EPH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ampullaceana_ampla;8034,Ampullaceana_ampla,8034,Gastropoda,GAS,3,0,0,3,2,1,0,0,0,0,1,3,0,0,0,0,0,0,3,5,3,1,3,1,0,2,3,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,2,0,3,0,0,0,0
