"","FRic.SES","FRic.SES.sig"
"LTR1_2010_4.10.2010",-1.29482650538596,0
"LTR1_2012_1.10.2012",-0.298231414496642,0
"LTR1_2013_7.10.2013",-0.916960188581264,0
"LTR1_2014_6.10.2014",-1.95893422635355,1
"LTR1_2015_5.10.2015",-0.926791245211533,0
"LTR1_2016_3.10.2016",-0.989852621772198,0
"LTR1_2017_2.10.2017",-1.17267994444692,0
"LTR1_2020_5.10.2020",-1.21434714626081,0
"LTR105_2010_27.9.2010",0.260409683153178,0
"LTR105_2012_26.9.2012",1.03061356176655,0
"LTR105_2013_16.9.2013",-1.32572018177341,0
"LTR105_2014_23.9.2014",0.876335508333163,0
"LTR105_2015_21.9.2015",0.805284637483679,0
"LTR105_2016_26.9.2016",-1.90461560153296,1
"LTR105_2017_25.10.2017",-0.419235786983268,0
"LTR105_2020_22.9.2020",1.24137120285726,0
"LTR11_2010_6.10.2010",-0.596511022838553,1
"LTR11_2012_3.10.2012",-0.795717561118684,0
"LTR11_2013_9.10.2013",-1.59719447109151,1
"LTR11_2014_8.10.2014",0.570731477949987,0
"LTR11_2015_7.10.2015",-0.312517210560057,0
"LTR11_2016_5.10.2016",-2.01863602187667,1
"LTR11_2017_4.10.2017",-1.24010410349344,0
"LTR11_2020_7.10.2020",-1.68936021121292,1
"LTR127_2010_13.10.2010",NA,NA
"LTR127_2011_14.9.2011",0.145344195918611,0
"LTR127_2012_12.9.2012",-0.356384929496921,0
"LTR127_2013_30.9.2013",-0.623644390331371,0
"LTR127_2014_15.10.2014",-1.51968811330508,1
"LTR127_2015_12.10.2015",-0.855738759583575,0
"LTR127_2016_12.9.2016",-1.52667339006165,1
"LTR127_2017_4.10.2017",-1.07486624653919,0
"LTR127_2020_14.9.2020",-1.1288091837678,0
"LTR1282_2010_6.10.2010",-1.47753191155687,0
"LTR1282_2012_17.10.2012",-2.12573034479229,1
"LTR1282_2013_26.9.2013",-1.80432870776309,1
"LTR1282_2014_22.9.2014",-1.04434945703465,0
"LTR1282_2015_19.10.2015",-1.67730404520898,1
"LTR1282_2016_28.11.2016",-0.836076684789509,0
"LTR1282_2017_2.10.2017",-0.432680509953189,0
"LTR1282_2020_20.10.2020",-0.316349373596848,0
"LTR13_2010_11.10.2010",-0.43731750700926,0
"LTR13_2011_12.9.2011",-1.37940705981553,0
"LTR13_2012_8.10.2012",NA,NA
"LTR13_2013_30.9.2013",-0.727598286671501,0
"LTR13_2014_13.10.2014",-1.36552425954597,1
"LTR13_2015_12.10.2015",-1.62954075539588,1
"LTR13_2016_12.9.2016",-0.890947070187195,0
"LTR13_2017_4.10.2017",0.181682686652667,0
"LTR13_2020_14.9.2020",-0.290291411360314,0
"LTR1301_2010_4.10.2010",-1.41427652798242,0
"LTR1301_2012_10.10.2012",-2.74324609267947,1
"LTR1301_2013_7.10.2013",-2.07438800830777,1
"LTR1301_2014_6.10.2014",-1.15585069903266,0
"LTR1301_2015_12.10.2015",-2.7710653445696,1
"LTR1301_2016_17.10.2016",-0.139902070785675,0
"LTR1301_2017_16.10.2017",-2.07939806080467,1
"LTR1301_2020_13.10.2020",-0.857794179249353,0
"LTR1319_2010_28.9.2010",-0.25554581477363,0
"LTR1319_2012_24.9.2012",-1.86062635935292,1
"LTR1319_2013_18.9.2013",-1.69326550489818,1
"LTR1319_2014_15.9.2014",-1.19262750396792,0
"LTR1319_2015_23.9.2015",-2.58938426769081,1
"LTR1319_2016_27.9.2016",-0.725148460202676,0
"LTR1319_2017_26.10.2017",-1.48379358495639,0
"LTR1319_2020_21.9.2020",0.126819205836022,0
"LTR133_2010_5.10.2010",0.083780624155078,0
"LTR133_2012_2.10.2012",-1.74915025936502,1
"LTR133_2013_8.10.2013",-1.86366498067385,1
"LTR133_2014_7.10.2014",0.250147439206264,0
"LTR133_2015_6.10.2015",-2.27227191014623,1
"LTR133_2016_4.10.2016",-0.490711112468618,0
"LTR133_2017_3.10.2017",-1.35844038053722,1
"LTR133_2020_6.10.2020",-0.652897586133806,0
"LTR1348_2010_7.10.2010",-1.16295407804493,0
"LTR1348_2012_3.10.2012",-2.09901866018508,1
"LTR1348_2013_10.10.2013",0.630476758533587,0
"LTR1348_2014_9.10.2014",-1.53569024784027,1
"LTR1348_2015_1.10.2015",-1.85002735357915,1
"LTR1348_2016_11.10.2016",-0.86404184976887,0
"LTR1348_2017_3.10.2017",-0.952966931648162,0
"LTR1348_2020_7.10.2020",-0.288186868775618,0
"LTR137_2010_27.9.2010",2.52513645796361,1
"LTR137_2012_25.9.2012",-1.00905640240474,0
"LTR137_2013_10.10.2013",-1.31106432166985,0
"LTR137_2014_30.9.2014",-1.51824177626217,0
"LTR137_2015_5.10.2015",-0.581513997312037,0
"LTR137_2016_10.10.2016",-1.33212842783318,0
"LTR137_2017_2.10.2017",-0.744988763548505,0
"LTR137_2020_8.10.2020",0.444353617189125,0
"LTR1438_2010_7.10.2010",-1.34500774843218,0
"LTR1438_2012_3.10.2012",-1.65150902843777,1
"LTR1438_2013_10.10.2013",-2.52001766425662,1
"LTR1438_2014_9.10.2014",-2.31561934108343,1
"LTR1438_2015_1.10.2015",-2.53868690455454,1
"LTR1438_2016_11.10.2016",-2.63728418094533,1
"LTR1438_2017_3.10.2017",-1.37162308606591,0
"LTR1438_2020_7.10.2020",-2.555128461857,1
"LTR1462_2010_11.10.2010",1.71682251358384,0
"LTR1462_2011_12.9.2011",-0.0557245324667389,0
"LTR1462_2012_18.10.2012",-0.851632626921532,0
"LTR1462_2013_25.9.2013",-0.183332634606593,0
"LTR1462_2014_13.10.2014",-2.20125763532199,1
"LTR1462_2015_12.10.2015",-1.14680268832639,0
"LTR1462_2016_12.9.2016",-0.742854517702104,0
"LTR1462_2017_4.10.2017",1.25601824684777,0
"LTR1462_2020_14.9.2020",-0.199102194290612,0
"LTR161_2010_5.10.2010",-1.34286631292378,0
"LTR161_2012_4.10.2012",-1.47366951513098,0
"LTR161_2013_8.10.2013",-2.03717244000623,1
"LTR161_2014_13.10.2014",-1.39976246688955,0
"LTR161_2015_1.10.2015",-1.78466557404523,1
"LTR161_2016_18.10.2016",-1.68168063747612,1
"LTR161_2017_6.10.2017",-5.09101363099879,1
"LTR161_2020_15.10.2020",-0.245880036047386,0
"LTR175_2010_7.10.2010",-0.960324151287079,0
"LTR175_2012_3.10.2012",-2.34204224054039,1
"LTR175_2013_10.10.2013",-0.499699421655803,0
"LTR175_2014_13.10.2014",-3.05254737043179,1
"LTR175_2015_1.10.2015",-2.49993196549898,1
"LTR175_2016_12.10.2016",-1.30920662043135,0
"LTR175_2017_3.10.2017",-1.35130037241676,0
"LTR175_2020_7.10.2020",-1.83171696557141,1
"LTR192_2010_5.10.2010",-2.41641670153638,1
"LTR192_2012_8.10.2012",-2.53753078393816,1
"LTR192_2013_14.10.2013",-1.17242668320536,0
"LTR192_2014_1.10.2014",-3.44662883527686,1
"LTR192_2015_7.10.2015",-1.54858908468183,0
"LTR192_2016_10.10.2016",0.0960936335654698,0
"LTR192_2017_4.10.2017",-2.94581357829411,1
"LTR192_2020_1.10.2020",-0.969617116554159,0
"LTR231_2010_6.10.2010",NA,NA
"LTR231_2012_3.10.2012",-0.718607595766156,0
"LTR231_2013_9.10.2013",-1.73492439329878,1
"LTR231_2014_9.10.2014",-0.420406719065079,0
"LTR231_2015_7.10.2015",0.0475734401395349,0
