"taxonname","group","group2","estimate","std.error","statistic","p.value"
"Caenis_horaria","Ephemeroptera","EPT",0.0374301670017278,0.0587794423351768,0.636790100666327,0.547771907624552
"Caenis_macrura","Ephemeroptera","EPT",0.104006726232852,0.0510788766372029,2.03619838728205,0.0879059475570291
"Cloeon_dipterum","Ephemeroptera","EPT",0.19885682236936,0.0740409459964966,2.68576825556455,0.036256427834332
"Ephemera_danica","Ephemeroptera","EPT",-0.0825119181112107,0.0324803476017425,-2.54036438042258,0.0440592536197292
"Ephemera_vulgata","Ephemeroptera","EPT",0.153171203954864,0.0600028902942228,2.55273043021416,0.0433308979119391
"Heptagenia_flava","Ephemeroptera","EPT",-0.106279616988028,0.0554168559788047,-1.91782112339027,0.103578575952764
"Heptagenia_sulphurea","Ephemeroptera","EPT",-0.104838533472954,0.0232948618218547,-4.50050033671359,0.00410174779908966
"Kageronia_fuscogrisea","Ephemeroptera","EPT",-0.169167539488597,0.0456510284043225,-3.70566765747995,0.0100208669174051
"Leptophlebia_vespertina","Ephemeroptera","EPT",0.0429736399079247,0.113864850079077,0.377409181833377,0.725040173881679
"Leptophlebiidae_Gen._sp.","Ephemeroptera","EPT",-0.123241438373491,0.0319167367497075,-3.86134207077483,0.0181265242178256
"Paraleptophlebia_sp.","Ephemeroptera","EPT",-0.138454302908345,0.101162992455762,-1.3686260118184,0.229403759233822
"Paraleptophlebia_submarginata","Ephemeroptera","EPT",0.0986532572198803,0.0426822345546714,2.3113423711103,0.060158094568796
"Isoperla_grammatica","Plecoptera","EPT",-0.0646833104495013,0.0477296761278762,-1.35520111798377,0.224148047367116
"Leuctra_sp.","Plecoptera","EPT",0.0329293849875398,0.0705249959740902,0.466917927930652,0.657032074760395
"Nemoura_sp.","Plecoptera","EPT",-0.107069928541646,0.0599451991557875,-1.78613016637728,0.124317168227258
"Perlodes_sp.","Plecoptera","EPT",-0.122190460543316,0.0700942920547607,-1.74322982601573,0.156247152236835
"Taeniopteryx_nebulosa","Plecoptera","EPT",0.00222771891878637,0.0334352385701534,0.0666278756800913,0.94904263688359
"Hydropsyche_pellucidula","Trichoptera","EPT",-0.083684834220848,0.0267730291466176,-3.12571408198016,0.0204357327717284
"Hydropsyche_siltalai","Trichoptera","EPT",-0.113563738951849,0.0626701674063439,-1.81208609537483,0.119927944248105
"Hydropsyche_sp.","Trichoptera","EPT",-0.124185509655878,0.0282890066526813,-4.38988583729954,0.00461855314976859
"Hydroptila_tineoides","Trichoptera","EPT",0.120996934057379,0.0615296945774338,1.96648032934906,0.106402005452773
"Ithytrichia_lamellaris","Trichoptera","EPT",0.0749758654988923,0.0450098409202218,1.66576606284355,0.156639602911337
"Lepidostoma_basale","Trichoptera","EPT",-0.0966436597653635,0.0462727436907493,-2.08856558001518,0.0910655938100086
"Limnephilidae_Gen._sp.","Trichoptera","EPT",-0.101840169745951,0.0477262115280202,-2.13384147799287,0.0997759753656125
"Limnephilus_flavicornis","Trichoptera","EPT",0.109204253405569,0.043283446855965,2.52300270283394,0.0529801773283269
"Limnephilus_rhombicus_ssp.","Trichoptera","EPT",0.0696612052042957,0.0767954017156624,0.907101254085741,0.399317097904628
"Neureclipsis_bimaculata","Trichoptera","EPT",0.0650404292903325,0.0479415373855191,1.35666131787376,0.223709473842745
"Oxyethira_sp.","Trichoptera","EPT",0.1399426250653,0.049241140737407,2.84198584698892,0.0361620660018867
"Psychomyia_pusilla","Trichoptera","EPT",-0.0946970839386512,0.0636528151053464,-1.48771242531734,0.211042150400897
"Cataclysta_lemnata","Lepidoptera","Insect",0.192837989804848,0.0750770217512398,2.56853542277952,0.0501243362479496
"Dicranota_bimaculata","Diptera","Insect",-0.101716109648688,0.0456608416944439,-2.22764421053293,0.0674842871592895
"Dryopidae_Gen._sp._Ad.","Coleoptera","Insect",0.127280927149845,0.0497961929079424,2.55603731363856,0.0508910819954461
"Elmis_sp._Ad.","Coleoptera","Insect",0.135398060971838,0.0609115965413723,2.22286179742265,0.0903244166400661
"Erythromma_najas","Odonata","Insect",0.080774618157974,0.0290110271446327,2.78427295094645,0.0318170372878917
"Gomphus_vulgatissimus","Odonata","Insect",-0.135019105480288,0.0663131847896794,-2.03608235539461,0.0879200735898672
"Gyrinus_sp._Ad.","Coleoptera","Insect",-0.13507613637604,0.0739023661077465,-1.82776470484186,0.117351038282069
"Ischnura_elegans","Odonata","Insect",-0.118499065382797,0.105577837463701,-1.12238579828403,0.32451426417332
"Limnius_sp._Ad.","Coleoptera","Insect",-0.158471588603553,0.0717939844214963,-2.20731012327133,0.0693998845145084
"Notonecta_glauca_ssp.","Hemiptera","Insect",0.106427323250414,0.0321793115911375,3.3073213188229,0.0162588819634247
"Orthocladiinae_Gen._sp.","Diptera","Insect",0.171012243515614,0.0870493209902505,1.96454425571875,0.120923057998594
"Sigara_sp.","Hemiptera","Insect",-0.086189055506437,0.102510466209712,-0.840782982394347,0.447792747266662
"Asellus_aquaticus","Isopoda","Crustacea",0.0290174621452727,0.0212171294362718,1.36764316928122,0.220435823090374
"Chelicorophium_curvispinum","Amphipoda","Crustacea",0.0832455513392334,0.0181459674659648,4.58755100797858,0.00590675083113608
"Gammarus_lacustris","Amphipoda","Crustacea",-0.00694761485927533,0.0151607776117422,-0.458262434632267,0.662892767432043
"Gammarus_pulex","Amphipoda","Crustacea",0.130474522299771,0.0596205897073297,2.18841381711008,0.0712303481543256
"Gammarus_sp.","Amphipoda","Crustacea",-0.189561076128659,0.0582365490578886,-3.25501904208353,0.022569908610891
"Limnomysis_benedeni","Mysida","Crustacea",0.11216074162518,0.0429292196024301,2.61268997349374,0.0592523067068509
"Pontogammarus_robustoides","Amphipoda","Crustacea",0.0676498065829274,0.046069953971698,1.46841489410835,0.21591103301851
"Synurella_ambulans","Amphipoda","Crustacea",0.114416902802322,0.0660277741831467,1.73286021250625,0.158152656917871
"Ampullaceana_balthica","Gastropoda","Mollusc",0.187433392154734,0.0549434369388125,3.41138819479874,0.0269929154567467
"Ancylus_fluviatilis","Gastropoda","Mollusc",-0.080971436918495,0.0843252117370445,-0.960228088972872,0.374021491846869
"Bithynia_leachii_ssp.","Gastropoda","Mollusc",-0.0585838643294099,0.0751173247243844,-0.77989817321586,0.465093743440108
"Gyraulus_sp.","Gastropoda","Mollusc",-0.0419826479156409,0.0618402483862336,-0.678888733651768,0.52251848469502
"Lithoglyphus_naticoides","Gastropoda","Mollusc",0.0533886408458594,0.0165788201737916,3.22029193188657,0.0181305249188843
"Lymnaea_stagnalis","Gastropoda","Mollusc",0.0777023340128772,0.0399019843578513,1.94733007050533,0.0994263177782106
"Physa_fontinalis","Gastropoda","Mollusc",0.075861587679179,0.0374145732972533,2.02759462406453,0.088959660854667
"Pisidium_sp.","Bivalvia","Mollusc",0.122976491011641,0.0335906401189348,3.66103446008223,0.0105664236444755
"Radix_auricularia","Gastropoda","Mollusc",0.178370333464616,0.0431782585282276,4.13102194355539,0.00613997282972887
"Sphaerium_rivicola","Bivalvia","Mollusc",-0.076660284004283,0.136857130241905,-0.560148264608359,0.599545363167052
"Sphaerium_sp.","Bivalvia","Mollusc",-0.024361250454598,0.0523688177354339,-0.465186183458838,0.658202532539347
"Unio_sp.","Bivalvia","Mollusc",-0.13031070507696,0.0785186624515835,-1.65961442806432,0.172330086832346
"Erpobdella_octoculata","Hirudinea","Annelid",0.0560058271188007,0.0134463314085426,4.1651380898748,0.00591045690092523
"Glossiphonia_complanata","Hirudinea","Annelid",-0.00368294396968942,0.049179101425979,-0.0748883949258961,0.942737947402802
"Helobdella_stagnalis","Hirudinea","Annelid",-0.0318806413280405,0.0262741720886808,-1.21338328836535,0.270578346600442
"Lumbriculus_sp.","Oligochaeta","Annelid",0.0138673796701104,0.0786117771310708,0.17640333517698,0.866899565057121
"Oligochaeta_Gen._sp.","Oligochaeta","Annelid",0.00522807256166188,0.00582428806236356,0.897632896189595,0.403959715895325
"Piscicola_geometra","Hirudinea","Annelid",0.0190056579931722,0.0360170162096144,0.527685521825619,0.616653274541034
