"","Response","Estimate","Est.Error","Q0.5","Q99.5","Q2.5","Q97.5","Q5","Q95","Q10","Q90"
"1","spp_richness",0.0857086061277225,0.012896594066142,0.0523478491420843,0.118937482834817,0.0600338813443361,0.110395127985355,0.0645284295926964,0.106675158230308,0.069249580532689,0.102237331574634
"2","spp_rich_rare",0.0360329481513,0.00931634964513822,0.0123345543451804,0.0599910934031141,0.01777577192234,0.0542958582459983,0.0209599772863639,0.0513906758555016,0.0241010513405468,0.0481043695066305
"3","shannonsH",0.0443905129975703,0.00780007457402427,0.0250076317086277,0.0648218431262275,0.0292192153003843,0.0600486832515479,0.031830248444607,0.0574974856171591,0.0345353389830791,0.0544805167134446
"4","E10",-0.00206630975353435,0.000480363495355727,-0.00332548388790649,-0.000776374383979964,-0.00304077698108224,-0.00114522444716108,-0.00286579107031191,-0.00129086334147983,-0.00267554878668784,-0.00145423218232852
"5","abundance",0.0150642277837471,0.00659801882562718,-0.00192790190983094,0.0323891189749906,0.0023118636059008,0.027923410100441,0.00428299650137681,0.0259892571481206,0.00661294137061801,0.0235891059600619
"6","turnover",0.0108574465349031,0.0025356201282673,0.00437147343692891,0.0172640532416528,0.00589522197675258,0.0159485834757034,0.00667152057014361,0.0151138150042223,0.00758336369883427,0.0141258102511414
"7","F_turnover",-0.00482525086235649,0.00551505220899631,-0.0189488886683447,0.00915876462676038,-0.0156017946010664,0.00584371776084807,-0.0138877706552644,0.00434364371310977,-0.0119817491366951,0.00223051994727659
"8","FRic",0.00347601534059522,0.000714870436083624,0.00163157797660026,0.00536558818308958,0.00206355735047539,0.00487178384747488,0.00227996179445008,0.00464409372187415,0.00255042018908212,0.0043812945941273
"9","FEve",0.000444639726408953,0.00153937851944347,-0.00344355215383404,0.00444951965573072,-0.00255866109569085,0.00349482176898368,-0.00210524316285358,0.00298133084268896,-0.00151639440823476,0.00241903401843472
"10","FDis",0.000100771300816531,4.65304712089009e-05,-1.75979313358496e-05,0.00021845551948744,1.00724434384722e-05,0.000192252346772588,2.50124960679505e-05,0.000178142454870527,4.05967338906613e-05,0.000161079208352538
"11","FRic.SES",0.0168166685765712,0.012964147085501,-0.0168222679136235,0.0509834974640098,-0.00880432301742176,0.0423937874522098,-0.00425088732616477,0.0380869114159801,0.000284726922923955,0.0333368154225373
"12","FDis.SES",-0.00571080171099692,0.0143713797644213,-0.0426791434476211,0.0319918894284373,-0.0344282476986776,0.0222426374996607,-0.0299272257820491,0.0176394058481401,-0.0239770354395251,0.0124364258317678
"13","FEve.SES",-0.00934355731753124,0.0172413349851259,-0.0548290038816456,0.0351653810938418,-0.0438825843770223,0.0246481314371714,-0.0375751293685378,0.0194898074024224,-0.0312267650067908,0.0129302626084316
"14","FRed",0.000988697158285719,0.000334294951123802,0.000135259179997166,0.00186659073616797,0.000336106215880338,0.00162917453827712,0.000437858907611835,0.00153994089975999,0.000557349950392337,0.00141605667789396
"15","ept_richness",0.0431808635184391,0.0125477455660149,0.0102125617782665,0.0751009899563648,0.0182399011524228,0.0680345925069768,0.0225777870148003,0.0639029070042152,0.027370159179888,0.0595895907883767
"16","ept_abundance",0.0125698952439628,0.00619352138979272,-0.00321302892354766,0.0284983691677025,0.000570785327210956,0.0248028565188071,0.00236598635276599,0.0228411367053706,0.00473023123204505,0.0205991488420988
"17","diptera_richness",0.0253713876386716,0.00632574742622683,0.00933290343896094,0.041988901379617,0.0130686017811197,0.0375660882000753,0.0150939491324542,0.0358472475342671,0.0173276622218857,0.0334986853813841
"18","diptera_abundance",0.00729418184492285,0.010035217404808,-0.0193958135544906,0.0329163378909714,-0.0124883333661547,0.0269407634349125,-0.00906087425627905,0.0239022697228597,-0.0055306492270689,0.0200978048030098
"19","insect_richness",0.0363573814886572,0.0150219026672271,-0.00204665596937386,0.0753726768188689,0.00676777622414381,0.0659161817858452,0.0117653167952748,0.0612733072620373,0.0170794174937702,0.0555580777471633
"20","insect_abundance",-0.00143825306847698,0.00646337324229651,-0.0181822820816173,0.0150981688950792,-0.0139076483648332,0.011151629216079,-0.0120596015599714,0.00920267642606847,-0.00982078816448662,0.00682283582015571
"21","mollusc_richness",0.0759614624945333,0.0107086511959464,0.0478852394330974,0.103384452357723,0.0547182396131232,0.0969054951996196,0.0583400011520719,0.0935205677251976,0.0622396697186177,0.0895957532947472
"22","mollusc_abundance",0.0415196256286524,0.00743406902247238,0.0225583651343853,0.060478702061414,0.0269622503226886,0.0559820399620545,0.0293041606530494,0.0536775373268055,0.0319688150703092,0.0511202197960477
"23","annelid_richness",0.0272705533307966,0.00639013094597353,0.0102069083052452,0.0433581185176896,0.0146808993704046,0.0394847874239244,0.0166127923887273,0.037614542056724,0.0189961667558233,0.0354955008418174
"24","annelid_abundance",0.0330680340588883,0.00846376382319876,0.0111639833421171,0.054767176584865,0.0167646954400387,0.0499550688929287,0.0192898223767979,0.0472890233345151,0.0223618968375978,0.0440085412368769
