"","Response","Estimate","Est.Error","Q0.5","Q99.5","Q2.5","Q97.5","Q5","Q95","Q10","Q90"
"1","flow",-0.00193137043146625,0.000946003252264576,-0.0043052222986011,0.000489679137730171,-0.00376179659482016,-6.33303337274383e-05,-0.00343895410780159,-0.000362348808767964,-0.00314057569056861,-0.000721004479124484
"2","temp",0.043954203125065,0.00790377076512418,0.0239455382532967,0.0651678411023582,0.0285410226712593,0.0599412530250624,0.0311349777118894,0.0570267683684024,0.0340586464362105,0.0541952576321788
"3","pH",0.014976122087731,0.00207447626963676,0.00958341713291068,0.0203007462555698,0.0109292556274071,0.0189599212341518,0.0115677309406173,0.0183622111676934,0.0122891288577941,0.0176187745306987
"4","o2_dis",0.118568076525986,0.0115886485436402,0.088743284867205,0.149346440107868,0.0962044810775606,0.141573435118778,0.099563537738368,0.137819526983343,0.103826394810313,0.133309193813045
"5","NH4.N",-0.0125876802501027,0.00153955816186485,-0.0165353487483115,-0.00863372103520421,-0.0156518349453073,-0.0096290614815215,-0.0151598306618046,-0.0100648480258116,-0.0145851353622454,-0.0106238242287611
"6","PC_axis1",0.00648240761236329,0.00154124771868435,0.00249082889424889,0.0103817215638979,0.00347665747766456,0.00945766026042823,0.00393008191915768,0.00899097105555116,0.00449617717766723,0.00843575053376274
"7","alkalinity",0.0364520214788158,0.00496545356355306,0.023341354920748,0.0492426340269962,0.0265821670401471,0.0459291934854723,0.0281675708716532,0.0444742464443545,0.0301364503974224,0.0427319302421642
"8","EC",0.000913068677324301,0.000375277598283889,-7.34430533780272e-05,0.00188251217940867,0.000171125007138647,0.00164016637158292,0.000292624912825969,0.00152780502056616,0.000438092932425221,0.00139438446542956
"9","NO3.N",0.0186814009024428,0.00207069468081825,0.0133954658803012,0.0238415687854772,0.0145967158941244,0.0226795184439993,0.0152368026541421,0.0220570801235102,0.0159977264333951,0.0213403344709238
"10","NO2.N",-0.000270790995308241,0.000184496258826163,-0.000742092356283341,0.000208913431443348,-0.000625912856762288,8.44012284480761e-05,-0.000577222614769327,3.22598130563111e-05,-0.000508598975463853,-3.54796721334138e-05
"11","mineral.N",0.0150674108656426,0.00217377312350195,0.00968039598758419,0.020782725157722,0.0108621072845721,0.0192670126680504,0.0115112174279289,0.0186137912842691,0.012236557170824,0.0177955578795776
"12","Tot.N",0.00838160366151803,0.00191925816296203,0.00334866109965046,0.0134154312339008,0.00458708431096994,0.0122070072861899,0.00519315701899865,0.0115596573824683,0.00594394419353278,0.0108063044388192
"13","PO4.P",-0.00154712427761869,0.000525223964895876,-0.00288168936641879,-0.000189550621864798,-0.0025631076929583,-0.000503655608516642,-0.00240840375359,-0.000678527406224034,-0.00221165415103214,-0.00086999522253616
"14","Tot.P",-0.00238239917129794,0.000600103986763198,-0.00392944365196906,-0.000878313344160669,-0.0035374919202507,-0.00123114737405035,-0.00335387380318925,-0.0013934432836973,-0.00314948023514173,-0.00159512619582057
