"","Response","probIncrease","probDecrease"
"1","spp_richness",1,0
"2","spp_rich_rare",1,0
"3","shannonsH",1,0
"4","E10",0,1
"5","abundance",0.9872,0.0128
"6","turnover",1,0
"7","F_turnover",0.1888,0.8112
"8","FRic",1,0
"9","FEve",0.6179,0.3821
"10","FDis",0.9626,0.0374
"11","FRic.SES",0.9048,0.0952
"12","FDis.SES",0.3342,0.6658
"13","FEve.SES",0.2891,0.7109
"14","FRed",0.9894,0.0106
"15","ept_richness",0.9997,3e-04
"16","ept_abundance",0.9782,0.0218
"17","diptera_richness",1,0
"18","diptera_abundance",0.7675,0.2325
"19","insect_richness",0.9905,0.0095
"20","insect_abundance",0.429,0.571
"21","mollusc_richness",1,0
"22","mollusc_abundance",1,0
"23","annelid_richness",1,0
"24","annelid_abundance",0.9999,1e-04
