"","taxonname","group","year","abundance","relative_abundance","relative_abundance_perc","log_abundance","group2"
"1","Ablabesmyia_monilis","Diptera",2010,0,0,0,0,"Insect"
"2","Ablabesmyia_monilis","Diptera",2012,0,0,0,0,"Insect"
"3","Ablabesmyia_monilis","Diptera",2013,0,0,0,0,"Insect"
"4","Ablabesmyia_monilis","Diptera",2014,10,0,0,2.39789527279837,"Insect"
"5","Ablabesmyia_monilis","Diptera",2015,0,0,0,0,"Insect"
"6","Ablabesmyia_monilis","Diptera",2016,0,0,0,0,"Insect"
"7","Ablabesmyia_monilis","Diptera",2017,0,0,0,0,"Insect"
"8","Ablabesmyia_monilis","Diptera",2020,0,0,0,0,"Insect"
"9","Ablabesmyia_sp.","Diptera",2010,0,0,0,0,"Insect"
"10","Ablabesmyia_sp.","Diptera",2012,5,0,0,1.79175946922805,"Insect"
"11","Ablabesmyia_sp.","Diptera",2013,0,0,0,0,"Insect"
"12","Ablabesmyia_sp.","Diptera",2014,0,0,0,0,"Insect"
"13","Ablabesmyia_sp.","Diptera",2015,0,0,0,0,"Insect"
"14","Ablabesmyia_sp.","Diptera",2016,0,0,0,0,"Insect"
"15","Ablabesmyia_sp.","Diptera",2017,0,0,0,0,"Insect"
"16","Ablabesmyia_sp.","Diptera",2020,0,0,0,0,"Insect"
"17","Acentrella_inexpectata","Ephemeroptera",2010,0,0,0,0,"Ephemeroptera"
"18","Acentrella_inexpectata","Ephemeroptera",2012,0,0,0,0,"Ephemeroptera"
"19","Acentrella_inexpectata","Ephemeroptera",2013,0,0,0,0,"Ephemeroptera"
"20","Acentrella_inexpectata","Ephemeroptera",2014,0,0,0,0,"Ephemeroptera"
"21","Acentrella_inexpectata","Ephemeroptera",2015,11,0,0,2.484906649788,"Ephemeroptera"
"22","Acentrella_inexpectata","Ephemeroptera",2016,0,0,0,0,"Ephemeroptera"
"23","Acentrella_inexpectata","Ephemeroptera",2017,38,0,0,3.66356164612965,"Ephemeroptera"
"24","Acentrella_inexpectata","Ephemeroptera",2020,0,0,0,0,"Ephemeroptera"
