"","site_code","sample_id","site_id","day","month","year","Date","day_of_year","country","season","Latitude","Longitude","Heavily_modified","river_type","EQR","EQC","F_to","F_to_app","F_to_disap","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ"
"328","LTR92_2010","LTR92_2010_27.9.2010","LTR92",27,9,2010,"27.9.2010",270,"Lithuania","autumn",56.1721,24.6351,"No",3,0.6,"Good","NA","NA","NA",22,17,0.0147742421599188,0.478830288236901,0.711542287118966,0.880497779572766,7.26334810852509,0.305236175459074
"329","LTR92_2012","LTR92_2012_24.9.2012","LTR92",24,9,2012,"24.9.2012",268,"Lithuania","autumn",56.1721,24.6351,"No",3,0.7,"Good","0.0983606557377049","0.0819672131147541","0.0163934426229508",22,19,0.0891837313141615,0.478830288236901,0.715388608532207,0.387309228654161,4.29456780387324,0.182287646140229
"330","LTR92_2013","LTR92_2013_23.9.2013","LTR92",23,9,2013,"23.9.2013",266,"Lithuania","autumn",56.1721,24.6351,"No",3,0.57,"Moderate","0.129032258064516","0.032258064516129","0.0967741935483871",19,18,0.0421194007530052,0.478830288236901,0.590840286141613,0.962964046896126,7.08174464305297,0.288928766380222
"331","LTR92_2014","LTR92_2014_24.9.2014","LTR92",24,9,2014,"24.9.2014",267,"Lithuania","autumn",56.1721,24.6351,"No",3,0.48,"Moderate","0.120689655172414","0.0344827586206897","0.0862068965517241",13,13,0.00928533050159558,0.478830288236901,0.651808981236611,0.803642606972235,4.73275820166814,0.16896775780802
"332","LTR92_2015","LTR92_2015_28.9.2015","LTR92",28,9,2015,"28.9.2015",271,"Lithuania","autumn",56.1721,24.6351,"No",3,0.63,"Good","0.0701754385964912","0.0701754385964912","0",30,27,0.101874416526859,0.478830288236901,0.675430627765567,0.863819642575913,6.50290371722663,0.26222882487703
"333","LTR92_2016","LTR92_2016_26.9.2016","LTR92",26,9,2016,"26.9.2016",270,"Lithuania","autumn",56.1721,24.6351,"No",3,0.64,"Good","0.112903225806452","0.0806451612903226","0.032258064516129",25,22,0.16735743545196,0.478830288236901,0.572877455917747,0.868268535239099,8.62126455535505,0.476519112041021
"334","LTR92_2017","LTR92_2017_13.10.2017","LTR92",13,10,2017,"13.10.2017",286,"Lithuania","autumn",56.1721,24.6351,"No",3,0.63,"Good","0.032258064516129","0.032258064516129","0",24,18,0.116969251124046,0.478830288236901,0.646725217062659,0.76452977424308,8.2587313895199,0.459105770813785
"335","LTR92_2020","LTR92_2020_23.9.2020","LTR92",23,9,2020,"23.9.2020",267,"Lithuania","autumn",56.1721,24.6351,"No",3,0.6,"Good","0","0","0",31,28,0.241303791486891,0.478830288236901,0.499335886984745,0.737937047436423,7.56694772433971,0.356241679233682
"320","LTR88_2010","LTR88_2010_5.10.2010","LTR88",5,10,2010,"5.10.2010",278,"Lithuania","autumn",56.3422,23.6155,"Yes",1,0.42,"Moderate","NA","NA","NA",10,7,0.0047798885799384,0.529625211881538,0.48402690802982,0.759844068152848,7.88275786838596,0.677291293558133
"321","LTR88_2012","LTR88_2012_11.9.2012","LTR88",11,9,2012,"11.9.2012",255,"Lithuania","autumn",56.3422,23.6155,"Yes",1,0.58,"Good","0.133333333333333","0.05","0.0833333333333333",19,17,0.0544436680022684,0.529625211881538,0.562425585343269,0.81177292422429,7.39107989998585,0.553718469266348
