"site_code","SppRich","Simp","Shan","EvenJ","E10","Abund","S_PIE","Turnover","Turnover_app","Turnover_disapp","rare.sppRich","ept_spp_richness","ept_abundance","insect_spp_richness","insect_abundance","crustacea_spp_richness","crustacea_abundance","mollusc_spp_richness","mollusc_abundance","annelid_spp_richness","annelid_abundance"
"LTR1_2010",34,0.918574245541838,2.81330909405768,0.797793950567181,0.0827443851193436,432,12.6112164725007,"NA","NA","NA",34,13,160,12,103,4,119,2,7,3,43
"LTR1_2012",27,0.909388969872844,2.75806022708566,0.836831536030896,0.10215037878095,1217,11.1280285142797,"0.803921568627451","0.333333333333333","0.470588235294118",25.4851730497256,3,47,12,412,2,93,7,422,3,243
"LTR1_2013",37,0.946131430569019,3.2037460790121,0.887238690138497,0.0865877318651918,2311,18.7059281114,"0.666666666666667","0.4375","0.229166666666667",35.0737083025716,13,884,15,876,2,72,5,205,2,274
"LTR1_2014",34,0.940787631925198,3.1650617570943,0.897543440326146,0.0930900516792442,756,17.2514054282778,"0.48936170212766","0.212765957446809","0.276595744680851",33.8668477018353,11,162,9,276,3,80,8,113,3,125
"LTR1_2015",43,0.935441535241462,3.21322457333736,0.854308325667178,0.0747261528683107,1361,15.656645971139,"0.625","0.392857142857143","0.232142857142857",41.3385613508778,14,269,9,230,4,37,14,571,2,254
"LTR1_2016",30,0.759448151639896,1.78865763286364,0.525890570922857,0.0596219210954546,3107,4.16133775583774,"0.648148148148148","0.203703703703704","0.444444444444444",20.8192692214967,6,81,11,1156,3,97,5,563,5,1210
"LTR1_2017",41,0.944891159251201,3.2147026119732,0.865663182033292,0.0784073807798342,1023,18.4555339805825,"0.634615384615385","0.423076923076923","0.211538461538462",37.4316923243998,11,182,12,207,4,210,11,291,3,133
"LTR1_2020",41,0.951615365864765,3.33280487912812,0.89746605674086,0.0812879238811737,611,21.3562915425166,"0.71875","0.359375","0.359375",40.2602479346975,6,81,16,193,2,46,14,200,3,91
"LTR105_2010",13,0.844997829861111,1.99255866314258,0.776841327235625,0.15327374331866,192,6.64107207533502,"NA","NA","NA",13,1,42,5,60,2,4,2,51,3,35
"LTR105_2012",34,0.789706020475251,2.14839162881829,0.609237658435998,0.0631879890828908,819,4.77717879604672,"0.880952380952381","0.69047619047619","0.19047619047619",22.1996444554442,9,399,15,275,2,84,5,45,3,16
"LTR105_2013",38,0.950869262290242,3.27129745950777,0.899304460668453,0.0860867752502044,1455,20.6284371465345,"0.8","0.433333333333333","0.366666666666667",33.0163816678619,11,679,13,315,1,27,10,294,3,140
"LTR105_2014",29,0.916817630882717,2.84604187342007,0.84520102097222,0.0981393749455196,554,12.2662556053812,"0.759259259259259","0.296296296296296","0.462962962962963",25.5076858496513,7,184,12,219,1,10,7,107,2,34
"LTR105_2015",42,0.94420368616731,3.29318095755838,0.881078665018784,0.0784090704180566,463,18.6037571751609,"0.836065573770492","0.524590163934426","0.311475409836066",37.4784178723068,13,188,15,122,NA,NA,12,115,2,38
"LTR105_2016",44,0.964524763705104,3.51614214501624,0.929166475564683,0.0799123214776418,575,29.5902815133585,"0.65625","0.34375","0.3125",39.296768548296,16,264,14,115,1,13,8,125,5,58
"LTR105_2017",30,0.920019290123457,2.82589524183983,0.830853056948675,0.0941965080613277,720,12.7062981689657,"0.878787878787879","0.333333333333333","0.545454545454545",24.4436277947604,10,298,12,252,1,56,3,74,3,38
"LTR105_2020",22,0.641107266435986,1.75137869025157,0.566598070611665,0.0796081222841622,255,2.8060826618144,"0.844444444444444","0.333333333333333","0.511111111111111",19.7425028080948,4,169,11,59,1,1,3,12,3,14
"LTR11_2010",7,0.77,1.63722353441151,0.841366460422817,0.233889076344501,40,4.75609756097561,"NA","NA","NA",7,1,1,NA,NA,2,11,4,28,NA,NA
"LTR11_2012",13,0.866303023719555,2.20811399808065,0.860880154088487,0.169854922929281,359,7.61747273589379,"0.75","0.5625","0.1875",10.2541115840569,1,8,2,80,2,64,5,171,3,36
"LTR11_2013",21,0.819622842689942,2.17924339660657,0.71579153748531,0.103773495076503,568,5.58872731058897,"0.785714285714286","0.535714285714286","0.25",11.4459201242475,5,57,4,110,2,31,6,228,4,142
"LTR11_2014",28,0.833906913027498,2.41018553599036,0.723300604338849,0.0860780548567987,173,6.20175072947061,"0.775","0.475","0.3",14.1504115575891,4,6,7,14,4,69,8,67,5,17
"LTR11_2015",28,0.857083574170409,2.57431301282122,0.772555527417452,0.0919397504579006,1071,7.0365344467641,"0.808510638297872","0.404255319148936","0.404255319148936",14.8765002345494,1,1,7,76,1,25,14,827,5,142
"LTR11_2016",25,0.933790256662329,2.90269210982508,0.901772006052434,0.116107684393003,1201,15.2831389183457,"0.641025641025641","0.282051282051282","0.358974358974359",16.4872800626063,6,232,3,85,2,85,9,596,5,203
"LTR11_2017",22,0.921866666666667,2.78979200837794,0.902540825780934,0.126808727653543,300,13.3244206773618,"0.657142857142857","0.285714285714286","0.371428571428571",15.9004058948541,6,48,5,51,2,15,7,135,2,51
"LTR11_2020",20,0.867244758248544,2.38502736299644,0.796141692650979,0.119251368149822,193,7.7979797979798,"0.833333333333333","0.388888888888889","0.444444444444444",12.5621464992642,3,6,5,39,3,23,5,88,4,37
"LTR127_2010",5,0.693194444444444,1.38454446185838,0.860265842603651,0.276908892371676,120,3.32247557003257,"NA","NA","NA",4.92444942863908,NA,NA,1,13,1,16,2,68,1,23
"LTR127_2011",11,0.499555982880302,1.10429586986684,0.460527147450488,0.100390533624259,387,2.00340646961,"0.857142857142857","0.642857142857143","0.214285714285714",5.03639153484335,NA,NA,4,35,NA,NA,3,67,4,285
