"name","aqem","taxon","aqem2","gen","sp","tachalt_low","tachalt_pie","tachalt_alt","tachaqua_egg","tachaqua_larva","tachaqua_nymph","tachaqua_adult","current_lib","current_lip","current_lrp","current_rlp","current_rhp","current_rhb","current_ind","tachcurr_null","tachcurr_slow","tachcurr_medium","tachcurr_fast","tachdisp_aquapass","tachdisp_aquaact","tachdisp_aerpass","tachdisp_aeract","tachfeed_abs","tachfeed_dpf","tachfeed_shr","tachfeed_scr","tachfeed_fif","tachfeed_pie","tachfeed_pre","tachfeed_par","feeding_gra","feeding_min","feeding_xyl","feeding_shr","feeding_gat","feeding_aff","feeding_pff","feeding_pre","feeding_par","feeding_oth","tachfood_mior","tachfood_detl1","tachfood_dpg1","tachfood_limi","tachfood_lima","tachfood_dag1","tachfood_lmic","tachfood_lmac","tachfood_vert","tachlifedur_less1","tachlifedur_gr1","tachloco_flr","tachloco_ssw","tachloco_wsw","tachloco_crw","tachloco_bur","tachloco_int","tachloco_tat","tachloco_pat","locomotion_sws","locomotion_swd","locomotion_bub","locomotion_spw","locomotion_ses","locomotion_oth","tachlongdist_cr","tachlongdist_er","tachlongdist_mr","tachlongdist_hr","tachlongdist_ep","tachlongdist_mp","tachlongdist_est","tachlongdist_out","tachsize_less0.25","tachsize_0.25to0.5","tachsize_0.5to1","tachsize_1to2","tachsize_2to4","tachsize_4to8","tachsize_gr8","microhab_arg","microhab_pel","microhab_psa","microhab_aka","microhab_lit","microhab_phy","microhab_pom","microhab_oth","tachph_less4","tachph_4to4.5","tachph_4.5to5","tachph_5to5.5","tachph_5.5to6","tachph_gr6","tachrepcyc_less1","tachrepcyc_one","tachrepcyc_gr1","tachrepro_ovo","tachrepro_fie","tachrepro_cie","tachrepro_fic","tachrepro_frc","tachrepro_vec","tachrepro_tec","tachrepro_ase","tachresist_egg","tachresist_coc","tachresist_hou","tachresist_did","tachresist_non","tachrespir_teg","tachrespir_gil","tachrespir_pls","tachrespir_spi","tachrespir_ves","tachsal_frw","tachsal_brw","tachsap_x","tachsap_o","tachsap_b","tachsap_a","tachsap_p","streamzone_euc","streamzone_hyc","streamzone_erh","streamzone_mrh","streamzone_hrh","streamzone_epo","streamzone_mpo","streamzone_hpo","streamzone_lit","streamzone_pro","tachsub_fbcp","tachsub_grvl","tachsub_sand","tachsub_silt","tachsub_macp","tachsub_micp","tachsub_twro","tachsub_odli","tachsub_mud","tachtemp_psy","tachtemp_the","tachtemp_eut","tachtransdist_rich","tachtransdist_bcsa","tachtransdist_ppdsa","tachtransdist_mapb","tachtransdist_tmpw","tachtransdist_lake","tachtransdist_gw","tachtroph_oli","tachtroph_meso","tachtroph_eu","adspan_less1wk","adspan_gr1wk","adspan_gr1mon","adspan_gr1yr","fmwing_less5","fmwing_5to10","fmwing_10to15","fmwing_15to20","fmwing_20to30","fmwing_30to40","fmwing_40to50","fmwing_gr50","wingpair_no","wingpair_1hind","wingpair_1elhe","wingpair_2","wing_pair_1halt","fecund_less100","fecund_100to1000","fecund_1000to3000","fecund_gr3000","drift_rare","drift_occ","drift_freq"
"ABLABESMYIA_MONILIS",8357,"ABLABESMYIA MONILIS",8357,"ABLABESMYIA","MONILIS",1.75,1.75,0.75,0,3,3,0,0,0,1,0,0,0,0,1.25,1,1.25,1.25,1.85714285714286,1,1.57142857142857,1,0,1.5,1,1.25,0.75,0,1.75,0.25,0,0,0,0,2,0,0,8,0,0,0.25,2.5,0.5,1.5,0.5,0.25,1.75,1.5,0,3,0,0,0,1.75,2.5,1.5,0.75,1,0,0,0,0,10,0,0,1.75,2,1.5,1.5,1.5,1.25,0.5,2.5,0,0.857142857142857,2.71428571428571,1.14285714285714,0.285714285714286,0,0,2,2,2,0,0,2,2,0,1.66666666666667,2,2.66666666666667,3,3,3,0,1.42857142857143,2.14285714285714,0.5,0,0,1,3,0,0,0,0,0,0,0.5,3,3,1,0,0,0,3,1,1,2.5,2.25,1.5,0.75,0,0,0,0,0.5,1.5,0.5,1,6,0.5,2.25,1,2,1.25,3.5,0,1.5,1,2.5,1.75,1,2.25,0.25,3,1.25,0.75,1.5,2.25,0,1,2.33333333333333,2.33333333333333,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,NA,1.66666666666667,2.16666666666667,0.5,0,2,3,1
"ABLABESMYIA_SP.",8854,"ABLABESMYIA SP.",8854,"ABLABESMYIA","SP.",1.75,1.75,0.75,0,3,3,0,0,0,1,0,0,0,0,1.25,1,1.25,1.25,1.85714285714286,1,1.57142857142857,1,0,1.5,1,1.25,0.75,0,1.75,0.25,0,0,0,0,2,0,0,8,0,0,0.25,2.5,0.5,1.5,0.5,0.25,1.75,1.5,0,3,0,0,0,1.75,2.5,1.5,0.75,1,0,0,0,0,10,0,0,1.75,2,1.5,1.5,1.5,1.25,0.5,2.5,0,0.857142857142857,2.71428571428571,1.14285714285714,0.285714285714286,0,0,2,2,2,0,0,2,2,0,1.66666666666667,2,2.66666666666667,3,3,3,0,1.42857142857143,2.14285714285714,0.5,0,0,1,3,0,0,0,0,0,0,0.5,3,3,1,0,0,0,3,1,1,2.5,2.25,1.5,0.75,0,0,0,0,0.5,1.5,0.5,1,6,0.5,2.25,1,2,1.25,3.5,0,1.5,1,2.5,1.75,1,2.25,0.25,3,1.25,0.75,1.5,2.25,0,1,2.33333333333333,2.33333333333333,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,NA,1.66666666666667,2.16666666666667,0.5,0,2,3,1
"ACENTRELLA_INEXPECTATA",10670,"ACENTRELLA INEXPECTATA",10670,"ACENTRELLA","INEXPECTATA",3,1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,3,0,2,1,1,2,0,1,0,3,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,2,1,3,1,0,0,0,0,3,0,0,0,1,4,0,0,0,0,0,2,0,8,0,0,0,2,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,2,0,0,0,3,0,1,3,1,0,0,0,0,1.5,4.5,3.5,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,NA,0,3,0,0,0,2,3
"ACENTRIA_EPHEMERELLA",9453,"ACENTRIA EPHEMERELLA",9453,"ACENTRIA","EPHEMERELLA",3,1,0,2,3,3,2,0,1,0,0,0,0,0,2,3,0,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,3,0,0,2,0,0,2,0,6,2,0,1,2,2,2,2,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,1,3,0,2,2,0,0,0,3,0,0,0,0,0,3,0,3,0,3,0,0,1,0,3,1,0,1,3,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,1,0,0,0,3,1,3,4,1,0,4,0,1,3,1,3,0,0,0,0,1.75,1.75,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0
"ACILIUS_CANALICULATUS_AD.",11767,"ACILIUS CANALICULATUS AD.",11767,"ACILIUS","CANALICULATUS AD.",3,0,0,3,3,0,2,0,1,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,3,1,0,3,1,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,3,0,0,0,6,0,0,0,0,4,0,1,1,1,2,2,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,3,0,3,1,0,0,1,2,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,3,3,0,1,0,0,1,3,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,3,NA,0,3,0,0,3,0,0
"ACILIUS_SP._AD.",11768,"ACILIUS SP. AD.",11768,"ACILIUS","SP. AD.",3,0,0,3,3,0,2,0,1,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,3,1,0,3,1,0,3,3,0,0,0,0,0,7,0,2,0,1,0,0,0,0,0,0,0,5,0,0,0,1,3,0,0,0,0,0,0,0,5,5,0,1,1,1,2,2,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,3,0,3,1,0,0,1,2,0,0,0,0,0,0,0,1.5,0,8.5,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,3,3,0,1,0,0,1,3,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0
"ACROLOXUS_LACUSTRIS",4205,"ACROLOXUS LACUSTRIS",4205,"ACROLOXUS","LACUSTRIS",3,0,0,3,0,0,3,0,1,0,0,0,0,0,3,2,0,0,2,1,0,0,0,0,1,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,10,0,0,0,0,1,2,3,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,1,2,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,1,0,1,2,2,0,0,0,0,0,1,2,2,1,4,0,1,0,0,0,5,2,0,2,3,0,0,3,0,1,3,0,0,0,0,0,3,2,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,NA,2,2,0,0,3,0,0
"AESHNA_CAERULEA",7427,"AESHNA CAERULEA",7427,"AESHNA","CAERULEA",2,3,2,1,3,0,0,0,1,0,0,0,0,0,3,1,0,0,1,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,4,1,1,3,0,0,0,5,0,0,0,0,0,4,0,6,0,0,0,1,0,0,1,1,0,4,0,0,0,0,2,3,0,0,2,0,0,0,8,0,0,0,1,1,2,2,3,3,1,0,0,2,0,0,0,3,3,0,2,0,0,1,0,1,3,0,0,0,3,1,0,1,3,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,2,3,2,0,0,3,0,1,2,2,0,3,0,1,3,0,0,0,2,3,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,0,3,1,0,3,0,0
"AESHNA_CYANEA",4222,"AESHNA CYANEA",4222,"AESHNA","CYANEA",2,3,2,1,3,0,0,0,1,0,0,0,0,0,3,1,0,0,1,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,4,1,1,3,0,0,0,5,0,0,0,0,0,4,0,6,0,0,0,1,0,0,1,1,0,4,0,0,0,0,2,3,0,0,3,0,0,0,4,3,0,0,1,1,2,2,3,3,1,0,0,2,0,0,0,3,3,0,2,0,0,1,0,1,3,0,0,0,3,1,0,1,3,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,2,3,2,0,0,3,0,1,2,2,0,3,0,1,3,0,0,0,2,3,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,0,3,1,0,3,0,0
"AESHNA_GRANDIS",4223,"AESHNA GRANDIS",4223,"AESHNA","GRANDIS",2,3,2,1,3,0,0,0,1,0,0,0,0,0,3,1,0,0,1,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,4,1,1,3,0,0,0,5,0,0,0,0,0,4,0,6,0,0,0,1,0,0,1,1,0,4,0,0,0,0,2,3,0,0,2,0,0,0,6,2,0,0,1,1,2,2,3,3,1,0,0,2,0,0,0,3,3,0,2,0,0,1,0,1,3,0,0,0,3,1,0,1,3,1,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,4,0,2,3,2,0,0,3,0,1,2,2,0,3,0,1,3,0,0,0,2,3,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,0,3,1,0,3,0,0
