"","nbsp","sing.sp","FEve","FDis","RaoQ","CWM.tachaqua_egg","CWM.tachaqua_larva","CWM.tachaqua_nymph","CWM.tachaqua_adult","CWM.tachdisp_aquapass","CWM.tachdisp_aquaact","CWM.tachdisp_aerpass","CWM.tachdisp_aeract","CWM.tachfeed_abs","CWM.tachfeed_dpf","CWM.tachfeed_shr","CWM.tachfeed_scr","CWM.tachfeed_fif","CWM.tachfeed_pie","CWM.tachfeed_pre","CWM.tachfeed_par","CWM.tachfood_mior","CWM.tachfood_detl1","CWM.tachfood_dpg1","CWM.tachfood_limi","CWM.tachfood_lima","CWM.tachfood_dag1","CWM.tachfood_lmic","CWM.tachfood_lmac","CWM.tachfood_vert","CWM.tachlifedur_less1","CWM.tachlifedur_gr1","CWM.tachloco_flr","CWM.tachloco_ssw","CWM.tachloco_wsw","CWM.tachloco_crw","CWM.tachloco_bur","CWM.tachloco_int","CWM.tachloco_tat","CWM.tachloco_pat","CWM.tachsize_less0.25","CWM.tachsize_0.25to0.5","CWM.tachsize_0.5to1","CWM.tachsize_1to2","CWM.tachsize_2to4","CWM.tachsize_4to8","CWM.tachsize_gr8","CWM.tachrepcyc_less1","CWM.tachrepcyc_one","CWM.tachrepcyc_gr1","CWM.tachrepro_ovo","CWM.tachrepro_fie","CWM.tachrepro_cie","CWM.tachrepro_fic","CWM.tachrepro_frc","CWM.tachrepro_vec","CWM.tachrepro_tec","CWM.tachrepro_ase","CWM.tachresist_egg","CWM.tachresist_coc","CWM.tachresist_hou","CWM.tachresist_did","CWM.tachresist_non","CWM.tachrespir_teg","CWM.tachrespir_gil","CWM.tachrespir_pls","CWM.tachrespir_spi","CWM.tachrespir_ves"
"LTR1_2010_4.10.2010",33,29,0.507750398052493,6.84311211770355,0.149378568464963,0.326237141931604,0.391784115010136,0.149505102989724,0.132473640068536,0.407010091786148,0.260603544257261,0.124470835590402,0.207915528366188,0.00393263625883526,0.127851756562706,0.304849414604088,0.202835044336458,0.151127785765636,0.0128504672897196,0.190082729833888,0.00647016534867002,0.0160906391638242,0.19371581096762,0.180770791898533,0.211211921467171,0.0793776861757905,0.0556337743253631,0.128007933152915,0.131920414811401,0.00327102803738318,0.693272075185214,0.306727924814786,0.00152425456163774,0.00432242990654206,0.168279928797345,0.48168391188251,0.0883277118084143,0.0918222835076922,0.163516852882009,0.000522626653850448,0.00232127685337751,0.0411093579260204,0.290811772331266,0.434925863627933,0.209148272533046,0.0193621798749793,0.00232127685337751,0.0624972052057252,0.437893618931136,0.499609175863139,0.298026998961578,0.0469672897196262,0.101890965732087,0.392643766737717,0.0991043613707165,0.0373831775700935,0.00809558944089195,0.0158878504672897,0.0775700934579439,0.0929906542047499,0,0.13744506564308,0.691994186694227,0.396113592070756,0.581022589504678,0.00333778371161549,0.0195260347129506,0
"LTR1_2012_1.10.2012",27,26,0.61110506175176,8.08500092136447,0.204583201575817,0.340418970765262,0.326626856095039,0.0958577227724507,0.237096450367248,0.465201858951005,0.310520245548432,0.097446025353429,0.126831870147134,0.0144813166776116,0.16976657706103,0.150821542193769,0.200481907417654,0.158059962497103,0.094426184606957,0.200543088101803,0.0114194214440722,0.0218388647397181,0.206860121095405,0.108670771552532,0.235325003305695,0.0421282079181464,0.072261455334586,0.0907670295551111,0.214430504475094,0.0077180420237117,0.531347576006574,0.468652423993426,0,0.0507395234182416,0.121329772677532,0.394151308839066,0.271089597473368,0.089887001792419,0.0708783050556473,0.00192449074372577,0.00854773820859935,0.0861080579122401,0.281743482488672,0.205549627050894,0.279260796722835,0.116273783730264,0.0225165138864958,0.0835661462612983,0.535176663937538,0.381257189801164,0.220031041723729,0.0612719802793755,0.0653525061626952,0.354405464496629,0.165461517392495,0.0369761709120789,0.0379967997232193,0.0585045193097782,0.0362366474938373,0.16479288510487,0,0.363883671792464,0.435086795608828,0.573183224882224,0.33769050834155,0.00783347028211449,0.0812927964941112,0
"LTR1_2013_7.10.2013",37,28,0.572374600229258,7.62422251235392,0.185937460653749,0.338893941557631,0.407911682795191,0.139982691475552,0.113211684171626,0.398174428606345,0.265267422816325,0.102858202040611,0.233699946536719,0.0106678777044975,0.165513098811855,0.110390496565313,0.187186586706494,0.199957838209677,0.132229914899755,0.188967034243728,0.00508715285868034,0.0250790760151508,0.201124972730111,0.10385281676294,0.242733306878669,0.0511565474428508,0.0259804573521579,0.111054182788505,0.238215029965946,0.000803610063670643,0.664164142506851,0.335835857493149,0.00256021924130968,0.0118996105581999,0.157881045114406,0.394613236900126,0.196719324288505,0.0765583094342576,0.158350549681611,0.00141770478158551,0.0062968187140313,0.0389930709622583,0.269313967084961,0.416214870167934,0.19537952311652,0.065774078795436,0.00802767115886038,0.0535987307082071,0.541178422046088,0.405222847245705,0.0961103899225924,0.105234750658559,0.222299558936285,0.352462324858736,0.109873070820713,0.0322371267849416,0.0386845521419299,0.0430982258762441,0.0623683830953411,0.100318171402973,0,0.271429086563228,0.565884358938458,0.438752940712798,0.407071377764052,0.0329150439924996,0.121260637530651,0
"LTR1_2014_6.10.2014",34,25,0.615308720179495,8.04299095831214,0.205966872794247,0.339339831371512,0.365794857826538,0.123456790123457,0.171408520678494,0.461154066170945,0.272820586071504,0.086391242651264,0.179634105106287,0.0173823930178933,0.184280940529888,0.150123311432835,0.16868072620769,0.183198272186367,0.0720899470899471,0.219767405058375,0.00447700447700448,0.023125252740887,0.201498472148897,0.113944381603112,0.228062735591441,0.0585248966201347,0.0310805596519882,0.11013082397951,0.233632877664031,0,0.571560846560846,0.428439153439153,0.00145502645502645,0.010978835978836,0.168474426820204,0.346732489292013,0.231122697637362,0.116861764181173,0.122460251164853,0.00191450847053214,0.008503401358311,0.0817523305518289,0.311907911321654,0.29734526886958,0.204087565256226,0.0870695565000742,0.00933396614232553,0.0422619047619048,0.490740740747259,0.466997354490836,0.183568489124045,0.11,0.111878306878307,0.346316872427984,0.110008818342152,0.0515873015873016,0.0284391534391534,0.0582010582010582,0.0615015121496292,0.143163273048034,0.000109942967082615,0.211870587175804,0.58335468465945,0.453605094661996,0.423756961271489,0.0171957671957672,0.105442176870748,0
"LTR1_2015_5.10.2015",43,35,0.616604990543104,8.12174156269222,0.205489198107188,0.365498707251012,0.300803630101857,0.0911707078128827,0.242526954834248,0.47871909639077,0.28438147063644,0.114798136142381,0.122101296830409,0.0181869766908144,0.184068868641049,0.140300912655799,0.232329253654456,0.297929972305432,0.0183688464364438,0.102739320410106,0.00607584920590064,0.027929921159197,0.237260906310605,0.101475536872304,0.312357169251667,0.109796697709997,0.0344131193322964,0.0990746249874002,0.0748579737834827,0.00283405059305133,0.500955180014695,0.499044819985305,0,0.0196546656869949,0.097342640231238,0.364613729400651,0.266788803408078,0.100265542599844,0.148917665223655,0.00241695344953961,0.0107350401223751,0.117042949693062,0.330617288680101,0.305028769920051,0.14184327794763,0.0707720640801654,0.0239606095566147,0.0415870683321087,0.550991917709996,0.407421013957896,0.275377581843416,0.106820964976733,0.148824393828068,0.304735080414728,0.0463507225079598,0.0132255694342395,0.0311903012490816,0.0734753857457752,0.0910557366496396,0.155670391447171,8.14272673176161e-05,0.334214218863491,0.418978225772381,0.498054053937123,0.433357786732616,0.00318393338231692,0.0654042259479438,0
"LTR1_2016_3.10.2016",30,25,0.429202202385239,8.33239121436064,0.208534936152283,0.304034423794468,0.312531366182624,0.154650788542002,0.228783421480906,0.582171545059575,0.213859488434035,0.133274024288281,0.0706949422181099,0.0382400647974742,0.307436632725702,0.0857044414656259,0.251391080378297,0.23369933896165,0.00912455745091728,0.0690499687441129,0.00535391547621995,0.0490127762249465,0.380001131120497,0.0805987623576938,0.267026379007511,0.0668879193259625,0.0286261390863901,0.0767780861433831,0.050505562446523,0.000563244287093659,0.423304519748034,0.576695480251966,0.000858277008904624,0.00329900225297715,0.142345241959864,0.277440342084694,0.192155436924152,0.20131024369889,0.177509552789169,0.00508190328134933,0.0225715706827976,0.166191270353789,0.476628949884607,0.190938907702819,0.0678116862056123,0.0532860444875778,0.0225715706827976,0.00830383006115224,0.392758287744811,0.598937882194037,0.0577906519329113,0.138354253835425,0.217771698315631,0.255062046275435,0.128580624396524,0.0106211779851947,0.0373296856560455,0.154489861602832,0.113936272932089,0.271464813789726,0,0.251367878982942,0.363231034295244,0.641150464517994,0.290631142995831,0.00278940027894003,0.0654289922072349,0
"LTR1_2017_2.10.2017",41,31,0.408758175222967,7.61455913091379,0.183544263948737,0.391215267968292,0.300571503130979,0.058464832658381,0.249748396242348,0.531373906748898,0.274656565327366,0.0772857118330483,0.116683816090688,0.0120012001339144,0.159260520174066,0.260316744187712,0.335620984989221,0.13420557936687,0.0227761485826002,0.0731494489285004,0.00266937363711557,0.0182665210612249,0.199628483292426,0.175934861272105,0.307465394174458,0.0780696115006965,0.0717624397976304,0.0753037166471911,0.0704409175133108,0.00312805474095797,0.529465158497417,0.470534841502583,0.00388679420937485,0.0470837406321277,0.191751617568436,0.461196062002514,0.112319165476997,0.110587747457566,0.0715799763403438,0.00159489631264165,0.00708382526378305,0.100325627444526,0.417422020804238,0.262629647975953,0.163916923736769,0.0415381295109483,0.00708382526378305,0.0232160312805474,0.463079178888805,0.513704789830647,0.271011187140219,0.0544255457803845,0.175208862821766,0.315027261865972,0.0582763115021179,0.0329912023460411,0.044574780058651,0.0484848484848485,0.074633431085044,0.0929331263270936,0,0.28639854768887,0.546034894898992,0.432604332336298,0.514455710911428,0.00856956663408276,0.0443703901181907,0
"LTR1_2020_5.10.2020",41,34,0.664543278846566,7.88553235842251,0.196393736786476,0.388521462970508,0.324146121999422,0.066012002182215,0.221320412847855,0.465612417745289,0.275748144054668,0.0785029267067704,0.180136511493272,0.0128097097901059,0.156296204166925,0.153637524504955,0.233667061324976,0.163084896554618,0.0228041462084015,0.253629787258235,0.00407067019178312,0.0171715274529892,0.176154996135168,0.125433915511657,0.230904439209169,0.0761180649683105,0.0578653638596355,0.110308828955993,0.205692150790407,0.000350713116670563,0.508265139116203,0.491734860883797,0.00300054555373704,0.0270049099836334,0.175791052929071,0.416413373860182,0.229911111674933,0.0818524420560874,0.0644329727821801,0.00159359116017632,0.00748719365554755,0.0715614172979029,0.303298474582845,0.238079238930578,0.294820641998015,0.075809972639442,0.00894306089566938,0.101363884342608,0.508477905078782,0.39015821057861,0.22262229496272,0.0898156028368794,0.121830878341517,0.319031823967994,0.0960447354064375,0.0806055646481178,0.0216039279869067,0.0484451718494272,0.0716039279869067,0.124164821408765,0,0.304418985270049,0.49981226533428,0.464257764739646,0.460183042679884,0.00600109110747409,0.0695581014729951,0
"LTR105_2010_27.9.2010",13,12,0.357401751972892,7.32288368061737,0.172344388879525,0.360095957450572,0.313351165783905,0.126953125,0.199599751765523,0.431389858549995,0.292918960375947,0.148957027980574,0.126734153093485,0.0159859736158781,0.237695163755786,0.100889995421245,0.33582633674262,0.233607104700855,0.0040922619047619,0.0644913048844945,0.00741185897435897,0.0220994340251918,0.308686755969586,0.0798859126984127,0.323924790205223,0.0624751984126984,0.0412946428571429,0.103257241238197,0.0531676912602151,0.00520833333333333,0.680394345238095,0.319605654761905,0.000868055555555556,0.0325520833333333,0.249218750013809,0.374714781746032,0.110320723706741,0.102134894508363,0.128066259407218,0.00212445172894845,0.00943587662089852,0.108329951287696,0.67461106602752,0.123640422091406,0.0525500541097845,0.021996753241797,0.00943587662089852,0.00598958333333333,0.482656250007,0.511354166659667,0.165972222222222,0.113729166666667,0.0684097222222222,0.434527777777778,0.111979166666667,0.0121527777777778,0.0286458333333333,0.0645833333333333,0.0859375,0.13290441176122,0,0.244419642857143,0.536738445381637,0.593540469355314,0.355244252866908,0.00173611111111111,0.0494791666666667,0
"LTR105_2012_26.9.2012",34,32,0.596656273058765,5.95966483758247,0.115939820957391,0.421784600318398,0.408987344663802,0.0304378161521019,0.138790238865698,0.294835844271241,0.297641038742201,0.109519951585129,0.298003165401429,0.000120891210140163,0.194427551477992,0.299618391376633,0.274291245088674,0.0413449798065183,0.11555772270058,0.0731286206750184,0.00151059766444382,0.00260776862229013,0.18527096850747,0.168020491601571,0.260675976557825,0.121855753808936,0.0311638046766768,0.16669951811541,0.0631998747468353,0.00050584336298622,0.883768978919881,0.116231021080118,0.0405975255599316,0.0200147805410963,0.524591240005373,0.30720880344891,0.0239435585301951,0.045834825157985,0.0377932009511616,1.60658053471229e-05,0.0164899268046379,0.0546193253190576,0.643086207112132,0.219313194807969,0.0593175673539099,0.00588142016709697,0.00129235843519684,0.0203082492555416,0.390486686775786,0.589205063968673,0.349152082485416,0.0829572221151169,0.195719204771836,0.287054755510896,0.0154660154660155,0.0676360676360676,0.00152625152625153,0.000488400488400488,0.00848497012314197,0.0199009359243879,1.69143026280946e-05,0.372321927833643,0.599275251816199,0.302494251923911,0.464827746601095,0.0922146636432351,0.140463337831759,0
