,FRic.SES,FRic.SES.sig,FEve.SES,FEve.SES.sig,FDis.SES,FDis.SES.sig
LTR1_2010_4.10.2010,-1.294826505,0,0.821136627,0,-0.493204264,0
LTR1_2012_1.10.2012,-0.298231414,0,0.580728849,0,0.544770974,0
LTR1_2013_7.10.2013,-0.916960189,0,-0.424183426,0,-0.107542869,0
LTR1_2014_6.10.2014,-1.958934226,1,-1.563763604,0,0.569255206,0
LTR1_2015_5.10.2015,-0.926791245,0,-1.170760571,0,-0.96914051,0
LTR1_2016_3.10.2016,-0.989852622,0,-0.745549683,0,0.646463123,0
LTR1_2017_2.10.2017,-1.172679944,0,-2.033294401,1,0.517095127,0
LTR1_2020_5.10.2020,-1.214347146,0,-1.841722566,1,0.673399612,0
LTR105_2010_27.9.2010,0.260409683,0,-1.17417085,0,0.036907156,0
LTR105_2012_26.9.2012,1.030613562,0,-0.910582843,0,0.658718824,0
LTR105_2013_16.9.2013,-1.325720182,0,-0.828817535,0,-0.315949281,0
LTR105_2014_23.9.2014,0.876335508,0,0.842091811,0,0.984236051,0
LTR105_2015_21.9.2015,0.805284637,0,0.861484852,0,-0.933985367,0
LTR105_2016_26.9.2016,-1.904615602,1,-1.001909239,0,-0.32653108,0
LTR105_2017_25.10.2017,-0.419235787,0,-0.160547723,0,-0.362242295,0
LTR105_2020_22.9.2020,1.241371203,0,1.125545161,0,-0.695421899,0
LTR11_2010_6.10.2010,-0.596511023,1,-1.086407926,0,1.446800856,0
LTR11_2012_3.10.2012,-0.795717561,0,1.020210347,0,0.359143418,0
LTR11_2013_9.10.2013,-1.597194471,1,-0.884401003,0,0.895081189,0
LTR11_2014_8.10.2014,0.570731478,0,-0.003695657,0,-0.439688611,0
LTR11_2015_7.10.2015,-0.312517211,0,-2.269133925,1,0.548767183,0
LTR11_2016_5.10.2016,-2.018636022,1,-2.682971762,1,-1.722451688,1
LTR11_2017_4.10.2017,-1.240104103,0,-1.118084185,0,-0.219430362,0
LTR11_2020_7.10.2020,-1.689360211,1,-0.255992879,0,0.202265837,0
LTR127_2010_13.10.2010,NA,NA,0.919150857,0,0.629177204,0
LTR127_2011_14.9.2011,0.145344196,0,0.411402554,0,1.816436681,1
LTR127_2012_12.9.2012,-0.356384929,0,0.923441276,0,0.625259113,0
LTR127_2013_30.9.2013,-0.62364439,0,-0.725532985,0,-0.037868434,0
LTR127_2014_15.10.2014,-1.519688113,1,-1.637941674,0,1.597240847,0
LTR127_2015_12.10.2015,-0.85573876,0,-1.835112749,1,0.727835967,0
