country,Response,TaskID
Lithuania,abundance,1
Lithuania,E10,2
Lithuania,shannonsH,3
Lithuania,spp_rich_rare,4
Lithuania,spp_richness,5
Lithuania,turnover,6
Lithuania,ept_spp_richness,7
Lithuania,ept_abundance,8
Lithuania,diptera_spp_richness,9
Lithuania,diptera_abundance,10
Lithuania,insect_spp_richness,11
Lithuania,insect_abundance,12
Lithuania,mollusc_spp_richness,13
Lithuania,mollusc_abundance,14
Lithuania,annelid_spp_richness,15
Lithuania,annelid_abundance,16
Lithuania,crustacea_spp_richness,17
Lithuania,crustacea_abundance,18
Lithuania,F_turnover,19
Lithuania,FDis,20
Lithuania,FEve,21
Lithuania,FRed,22
Lithuania,FRic,23
