sample_id,site_id,site_code,day,month,year,taxon_code,taxon_name,taxon_id,abundance,ept,diptera,insect,mollusc,annelid,crustacea,group
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Ametropus_sp.;14415,Ametropus_sp.,14415,4,Yes,NA,Yes,NA,NA,NA,Ephemeroptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Anabolia_sp.;4301,Anabolia_sp.,4301,1,Yes,NA,Yes,NA,NA,NA,Trichoptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Aphelocheirus_aestivalis;4335,Aphelocheirus_aestivalis,4335,3,NA,NA,Yes,NA,NA,NA,Hemiptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Asellus_aquaticus;8691,Asellus_aquaticus,8691,22,NA,NA,NA,NA,NA,Yes,Crustacea
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Baetis_sp.;4419,Baetis_sp.,4419,33,Yes,NA,Yes,NA,NA,NA,Ephemeroptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Brachycentrus_sp.;4480,Brachycentrus_sp.,4480,40,Yes,NA,Yes,NA,NA,NA,Trichoptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Calopteryx_sp.;4531,Calopteryx_sp.,4531,8,NA,NA,Yes,NA,NA,NA,Odonata
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Chironomidae_Gen._sp.;4642,Chironomidae_Gen._sp.,4642,59,NA,Yes,Yes,NA,NA,NA,Diptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Corophiidae_Gen._sp.;9280,Corophiidae_Gen._sp.,9280,31,NA,NA,NA,NA,NA,Yes,Crustacea
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Ephemera_sp.;5128,Ephemera_sp.,5128,1,Yes,NA,Yes,NA,NA,NA,Ephemeroptera
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Erpobdella_octoculata;5159,Erpobdella_octoculata,5159,25,NA,NA,NA,NA,Yes,NA,Hirudinea
LTR1_2010_4.10.2010,LTR1,LTR1_2010,4,10,2010,Gammarus_sp.;5293,Gammarus_sp.,5293,66,NA,NA,NA,NA,NA,Yes,Crustacea
