site_code,SppRich,Simp,Shan,EvenJ,E10,Abund,S_PIE,Turnover,Turnover_app,Turnover_disapp,rare.sppRich,ept_spp_richness,ept_abundance,crustacea_spp_richness,crustacea_abundance,diptera_spp_richness,diptera_abundance,mollusc_spp_richness,mollusc_abundance,insect_spp_richness,insect_abundance,annelid_spp_richness,annelid_abundance
LTR1_2010,30,0.914962706,2.735036821,0.8041394,0.091167894,432,12.06062962,NA,NA,NA,30,11,160,3,119,3,74,2,7,22,263,3,43
LTR1_2012,26,0.909158059,2.743612927,0.842090741,0.105523574,1217,11.09948398,0.697674419,0.302325581,0.395348837,24.50440711,3,47,2,93,6,331,7,422,14,459,3,243
LTR1_2013,28,0.922983245,2.844657825,0.853686446,0.101594922,2311,13.05190042,0.578947368,0.315789474,0.263157895,26.84826666,7,884,2,72,6,573,4,205,20,1760,2,274
LTR1_2014,25,0.933337533,2.933076872,0.911211563,0.117323075,756,15.28438303,0.527777778,0.222222222,0.305555556,24.95378199,5,162,3,80,4,183,6,113,13,438,3,125
LTR1_2015,35,0.926065191,3.00352404,0.844790436,0.085814973,1361,13.65115421,0.636363636,0.431818182,0.204545455,33.63442214,9,269,4,37,5,199,11,571,18,499,2,254
LTR1_2016,25,0.75928075,1.76229489,0.54748769,0.070491796,3107,4.158439998,0.604651163,0.186046512,0.418604651,17.62549941,3,81,3,97,4,1100,4,563,13,1237,5,1210
LTR1_2017,31,0.933619613,2.967288918,0.864094343,0.095718997,1023,15.27490284,0.634146341,0.390243902,0.243902439,28.28433468,6,182,3,210,4,123,8,291,17,389,3,133
LTR1_2020,35,0.946884852,3.185833732,0.89606803,0.091023821,611,19.39379748,0.68,0.38,0.3,34.28636444,4,81,2,46,4,101,11,200,19,274,3,91
LTR105_2010,12,0.844835069,1.980843348,0.797150005,0.165070279,192,6.633863965,NA,NA,NA,12,1,42,1,4,2,57,2,51,6,102,3,35
LTR105_2012,32,0.788996379,2.113904986,0.609944048,0.066059531,819,4.761018804,0.777777778,0.666666667,0.111111111,20.57345541,8,399,2,84,3,19,5,45,22,674,3,16
LTR105_2013,27,0.924503017,2.876594924,0.872796513,0.106540553,1455,13.35806382,0.717391304,0.304347826,0.413043478,24.92661732,5,679,1,27,4,178,7,294,16,994,3,140
LTR105_2014,29,0.916817631,2.846041873,0.845201021,0.098139375,554,12.26625561,0.697674419,0.372093023,0.325581395,25.50768585,7,184,1,10,1,18,7,107,19,403,2,34
LTR105_2015,36,0.937607583,3.147642179,0.878366274,0.087434505,463,16.56644981,0.796296296,0.462962963,0.333333333,32.82940384,11,188,0,0,2,26,9,115,25,310,2,38
LTR105_2016,37,0.955221172,3.307518347,0.915977163,0.089392388,575,23.19395643,0.648148148,0.333333333,0.314814815,33.15995914,12,264,1,13,0,0,7,125,24,379,5,58
LTR105_2017,27,0.915922068,2.749931884,0.83436529,0.101849329,720,12.07670415,0.814814815,0.314814815,0.5,22.47770308,7,298,1,56,4,140,3,74,19,550,3,38
LTR105_2020,21,0.640984237,1.741566878,0.57203286,0.082931756,255,2.805110437,0.769230769,0.307692308,0.461538462,18.9922098,4,169,1,1,2,37,3,12,14,228,3,14
LTR11_2010,6,0.7575,1.553448608,0.866996176,0.258908101,40,4.482758621,NA,NA,NA,6,1,1,1,11,0,0,4,28,1,1,0,0
LTR11_2012,13,0.866303024,2.208113998,0.860880154,0.169854923,359,7.617472736,0.733333333,0.6,0.133333333,10.25411158,1,8,2,64,1,79,5,171,3,88,3,36
LTR11_2013,17,0.815729766,2.060931558,0.727418414,0.121231268,568,5.469515302,0.695652174,0.434782609,0.260869565,10.0745375,2,57,2,31,3,108,5,228,6,167,4,142
LTR11_2014,27,0.82388319,2.327214027,0.706107165,0.086193112,173,5.836798745,0.625,0.46875,0.15625,13.41436844,4,6,4,69,1,4,7,67,11,20,5,17
LTR11_2015,24,0.846963622,2.396337582,0.754026744,0.099847399,1071,6.568367838,0.756097561,0.341463415,0.414634146,12.89372726,1,1,1,25,2,36,10,827,8,77,5,142
LTR11_2016,19,0.917439741,2.63942082,0.896408735,0.138916885,1201,12.22557769,0.612903226,0.225806452,0.387096774,13.6690247,2,232,2,85,2,84,7,596,5,317,5,203
LTR11_2017,20,0.916711111,2.704545406,0.902799436,0.13522727,300,12.46525848,0.655172414,0.344827586,0.310344828,14.9412956,5,48,2,15,3,42,6,135,10,99,2,51
